generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
1,2024-06-29 16:02:52,2024-06-29 16:04:53,121,0.10073155544642678,128,128
2,2024-06-29 16:04:53,2024-06-29 16:06:52,119,0.10090904068540942,128,256
3,2024-06-29 16:06:52,2024-06-29 16:08:53,121,0.10191026227332506,128,384
4,2024-06-29 16:08:53,2024-06-29 16:10:52,119,0.10542354222491314,128,512
5,2024-06-29 16:10:52,2024-06-29 16:12:51,119,0.11018447548471465,128,640
6,2024-06-29 16:12:51,2024-06-29 16:14:50,119,0.11171251036942927,128,768
7,2024-06-29 16:14:50,2024-06-29 16:16:48,118,0.12334482435496275,128,896
8,2024-06-29 16:16:48,2024-06-29 16:18:46,118,0.12402366087493799,128,1024
9,2024-06-29 16:18:46,2024-06-29 16:20:46,120,0.13028141868235732,128,1152
10,2024-06-29 16:20:46,2024-06-29 16:22:44,118,0.13365056216923077,128,1280
11,2024-06-29 16:22:44,2024-06-29 16:24:45,121,0.1348135631140447,128,1408
12,2024-06-29 16:24:45,2024-06-29 16:26:43,118,0.13546077591250621,128,1536
13,2024-06-29 16:26:43,2024-06-29 16:28:42,119,0.1358325752905211,128,1664
14,2024-06-29 16:28:42,2024-06-29 16:30:40,118,0.13989713464511166,128,1792
15,2024-06-29 16:30:40,2024-06-29 16:32:39,119,0.14027355177588086,128,1920
16,2024-06-29 16:32:39,2024-06-29 16:34:40,121,0.140515707720397,128,2048
17,2024-06-29 16:34:40,2024-06-29 16:36:41,121,0.1405983286805707,128,2176
18,2024-06-29 16:36:41,2024-06-29 16:38:39,118,0.14207530363977666,128,2304
19,2024-06-29 16:38:39,2024-06-29 16:40:38,119,0.1424292844585856,128,2432
20,2024-06-29 16:40:38,2024-06-29 16:42:36,118,0.14307398767779153,128,2560
21,2024-06-29 16:42:36,2024-06-29 16:44:35,119,0.14317740045689825,128,2688
22,2024-06-29 16:44:35,2024-06-29 16:46:33,118,0.14500482109791563,128,2816
23,2024-06-29 16:46:33,2024-06-29 16:48:33,120,0.14539630287188585,128,2944
24,2024-06-29 16:48:33,2024-06-29 16:50:31,118,0.14540053948724568,128,3072
25,2024-06-29 16:50:31,2024-06-29 16:52:28,117,0.14935661487342433,128,3200
26,2024-06-29 16:52:28,2024-06-29 16:54:27,119,0.1525558358882134,128,3328
27,2024-06-29 16:54:27,2024-06-29 16:56:25,118,0.1527102350242432,128,3456
28,2024-06-29 16:56:25,2024-06-29 16:58:22,117,0.15271096498387096,128,3584
29,2024-06-29 16:58:22,2024-06-29 17:00:20,118,0.1529050753673449,128,3712
30,2024-06-29 17:00:20,2024-06-29 17:02:17,117,0.15296622518436725,128,3840
31,2024-06-29 17:02:17,2024-06-29 17:04:15,118,0.15299961085590572,128,3968
32,2024-06-29 17:04:15,2024-06-29 17:06:16,121,0.1530196170214888,128,4096
33,2024-06-29 17:06:16,2024-06-29 17:08:14,118,0.15317866508004965,128,4224
34,2024-06-29 17:08:14,2024-06-29 17:10:11,117,0.15598281597858557,128,4352
35,2024-06-29 17:10:11,2024-06-29 17:12:09,118,0.156032488911464,128,4480
36,2024-06-29 17:12:09,2024-06-29 17:14:07,118,0.15618627836674936,128,4608
37,2024-06-29 17:14:07,2024-06-29 17:16:04,117,0.15623371481560794,128,4736
38,2024-06-29 17:16:04,2024-06-29 17:18:03,119,0.15624395081218365,128,4864
39,2024-06-29 17:18:03,2024-06-29 17:20:00,117,0.15625019878344915,128,4992
40,2024-06-29 17:20:00,2024-06-29 17:21:57,117,0.15632838849079406,128,5120
41,2024-06-29 17:21:57,2024-06-29 17:23:55,118,0.1586727819807196,128,5248
42,2024-06-29 17:23:55,2024-06-29 17:25:53,118,0.15870459997761788,128,5376
43,2024-06-29 17:25:53,2024-06-29 17:27:50,117,0.1587360316941191,128,5504
44,2024-06-29 17:27:50,2024-06-29 17:29:48,118,0.15874193242384615,128,5632
45,2024-06-29 17:29:48,2024-06-29 17:31:45,117,0.1588555347646898,128,5760
46,2024-06-29 17:31:45,2024-06-29 17:33:45,120,0.15897408876620348,128,5888
47,2024-06-29 17:33:45,2024-06-29 17:35:49,124,0.1589525863471464,128,6016
48,2024-06-29 17:35:49,2024-06-29 17:37:47,118,0.1589183444198759,128,6144
49,2024-06-29 17:37:47,2024-06-29 17:39:44,117,0.1589232937319355,128,6272
50,2024-06-29 17:39:44,2024-06-29 17:41:41,117,0.15892239839846153,128,6400
51,2024-06-29 17:41:41,2024-06-29 17:43:39,118,0.15901244974965256,128,6528
52,2024-06-29 17:43:39,2024-06-29 17:45:36,117,0.15902334693032258,128,6656
53,2024-06-29 17:45:36,2024-06-29 17:47:33,117,0.1611447351339702,128,6784
54,2024-06-29 17:47:33,2024-06-29 17:49:33,120,0.16126422141677416,128,6912
55,2024-06-29 17:49:33,2024-06-29 17:51:30,117,0.16266727440210918,128,7040
56,2024-06-29 17:51:30,2024-06-29 17:53:34,124,0.16266637096712164,128,7168
57,2024-06-29 17:53:34,2024-06-29 17:55:31,117,0.16275428066238215,128,7296
58,2024-06-29 17:55:31,2024-06-29 17:57:28,117,0.16278467051399506,128,7424
59,2024-06-29 17:57:28,2024-06-29 17:59:26,118,0.16348901164625307,128,7552
60,2024-06-29 17:59:26,2024-06-29 18:01:24,118,0.16271244127342427,128,7680
61,2024-06-29 18:01:24,2024-06-29 18:03:24,120,0.16289922227612902,128,7808
62,2024-06-29 18:03:24,2024-06-29 18:05:22,118,0.16366397133846156,128,7936
63,2024-06-29 18:05:22,2024-06-29 18:07:19,117,0.16370803737419354,128,8064
64,2024-06-29 18:07:19,2024-06-29 18:09:17,118,0.16406245202369735,128,8192
65,2024-06-29 18:09:17,2024-06-29 18:11:14,117,0.164214082130124,128,8320
