Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2035-01-01,65.69,0.0
2035-01-02,65.69,0.0
2035-01-03,65.69,0.0
2035-01-04,65.69,0.0
2035-01-05,65.69,0.0
2035-01-06,65.69,0.0
2035-01-07,65.69,0.0
2035-01-08,65.69,0.0
2035-01-09,65.69,0.0
2035-01-10,65.69,0.0
2035-01-11,65.69,0.0
2035-01-12,65.69,0.0
2035-01-13,65.69,0.0
2035-01-14,65.69,0.0
2035-01-15,65.69,0.0
2035-01-16,65.69,0.0
2035-01-17,65.69,0.0
2035-01-18,65.69,0.0
2035-01-19,65.69,0.0
2035-01-20,65.69,0.0
2035-01-21,65.69,0.0
2035-01-22,65.69,0.0
2035-01-23,65.69,0.0
2035-01-24,65.69,0.0
2035-01-25,65.69,0.0
2035-01-26,65.69,0.0
2035-01-27,65.69,0.0
2035-01-28,65.69,0.0
2035-01-29,65.69,0.0
2035-01-30,65.69,0.0
2035-01-31,65.69,0.0
2035-02-01,37.75,0.0
2035-02-02,37.75,0.0
2035-02-03,37.75,0.0
2035-02-04,37.75,0.0
2035-02-05,37.75,0.0
2035-02-06,37.75,0.0
2035-02-07,37.75,0.0
2035-02-08,37.75,0.0
2035-02-09,37.75,0.0
2035-02-10,37.75,0.0
2035-02-11,37.75,0.0
2035-02-12,37.75,0.0
2035-02-13,37.75,0.0
2035-02-14,37.75,0.0
2035-02-15,37.75,0.0
2035-02-16,37.75,0.0
2035-02-17,37.75,0.0
2035-02-18,37.75,0.0
2035-02-19,37.75,0.0
2035-02-20,37.75,0.0
2035-02-21,37.75,0.0
2035-02-22,37.75,0.0
2035-02-23,37.75,0.0
2035-02-24,37.75,0.0
2035-02-25,37.75,0.0
2035-02-26,37.75,0.0
2035-02-27,37.75,0.0
2035-02-28,37.75,0.0
2035-03-01,0.0,0.0
2035-03-02,0.0,0.0
2035-03-03,0.0,0.0
2035-03-04,0.0,0.0
2035-03-05,0.0,0.0
2035-03-06,0.0,0.0
2035-03-07,0.0,0.0
2035-03-08,0.0,0.0
2035-03-09,0.0,0.0
2035-03-10,0.0,0.0
2035-03-11,0.0,0.0
2035-03-12,0.0,0.0
2035-03-13,0.0,0.0
2035-03-14,0.0,0.0
2035-03-15,0.0,0.0
2035-03-16,0.0,0.0
2035-03-17,0.0,0.0
2035-03-18,0.0,0.0
2035-03-19,0.0,0.0
2035-03-20,0.0,0.0
2035-03-21,0.0,0.0
2035-03-22,0.0,0.0
2035-03-23,0.0,0.0
2035-03-24,0.0,0.0
2035-03-25,0.0,0.0
2035-03-26,0.0,0.0
2035-03-27,0.0,0.0
2035-03-28,0.0,0.0
2035-03-29,0.0,0.0
2035-03-30,0.0,0.0
2035-03-31,0.0,0.0
2035-04-01,0.0,0.0
2035-04-02,0.0,0.0
2035-04-03,0.0,0.0
2035-04-04,0.0,0.0
2035-04-05,0.0,0.0
2035-04-06,0.0,0.0
2035-04-07,0.0,0.0
2035-04-08,0.0,0.0
2035-04-09,0.0,0.0
2035-04-10,0.0,0.0
2035-04-11,0.0,0.0
2035-04-12,0.0,0.0
2035-04-13,0.0,0.0
2035-04-14,0.0,0.0
2035-04-15,0.0,0.0
2035-04-16,0.0,0.0
2035-04-17,0.0,0.0
2035-04-18,0.0,0.0
2035-04-19,0.0,0.0
2035-04-20,0.0,0.0
2035-04-21,0.0,0.0
2035-04-22,0.0,0.0
2035-04-23,0.0,0.0
2035-04-24,0.0,0.0
2035-04-25,0.0,0.0
2035-04-26,0.0,0.0
2035-04-27,0.0,0.0
2035-04-28,0.0,0.0
2035-04-29,0.0,0.0
2035-04-30,0.0,0.0
2035-05-01,0.0,6.14
2035-05-02,0.0,6.14
2035-05-03,0.0,6.14
2035-05-04,0.0,6.14
2035-05-05,0.0,6.14
2035-05-06,0.0,6.14
2035-05-07,0.0,6.14
2035-05-08,0.0,6.14
