Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2039-01-01,24.93,0.0
2039-01-02,24.93,0.0
2039-01-03,24.93,0.0
2039-01-04,24.93,0.0
2039-01-05,24.93,0.0
2039-01-06,24.93,0.0
2039-01-07,24.93,0.0
2039-01-08,24.93,0.0
2039-01-09,24.93,0.0
2039-01-10,24.93,0.0
2039-01-11,24.93,0.0
2039-01-12,24.93,0.0
2039-01-13,24.93,0.0
2039-01-14,24.93,0.0
2039-01-15,24.93,0.0
2039-01-16,24.93,0.0
2039-01-17,24.93,0.0
2039-01-18,24.93,0.0
2039-01-19,24.93,0.0
2039-01-20,24.93,0.0
2039-01-21,24.93,0.0
2039-01-22,24.93,0.0
2039-01-23,24.93,0.0
2039-01-24,24.93,0.0
2039-01-25,24.93,0.0
2039-01-26,24.93,0.0
2039-01-27,24.93,0.0
2039-01-28,24.93,0.0
2039-01-29,24.93,0.0
2039-01-30,24.93,0.0
2039-01-31,24.93,0.0
2039-02-01,0.0,0.0
2039-02-02,0.0,0.0
2039-02-03,0.0,0.0
2039-02-04,0.0,0.0
2039-02-05,0.0,0.0
2039-02-06,0.0,0.0
2039-02-07,0.0,0.0
2039-02-08,0.0,0.0
2039-02-09,0.0,0.0
2039-02-10,0.0,0.0
2039-02-11,0.0,0.0
2039-02-12,0.0,0.0
2039-02-13,0.0,0.0
2039-02-14,0.0,0.0
2039-02-15,0.0,0.0
2039-02-16,0.0,0.0
2039-02-17,0.0,0.0
2039-02-18,0.0,0.0
2039-02-19,0.0,0.0
2039-02-20,0.0,0.0
2039-02-21,0.0,0.0
2039-02-22,0.0,0.0
2039-02-23,0.0,0.0
2039-02-24,0.0,0.0
2039-02-25,0.0,0.0
2039-02-26,0.0,0.0
2039-02-27,0.0,0.0
2039-02-28,0.0,0.0
2039-03-01,0.0,0.0
2039-03-02,0.0,0.0
2039-03-03,0.0,0.0
2039-03-04,0.0,0.0
2039-03-05,0.0,0.0
2039-03-06,0.0,0.0
2039-03-07,0.0,0.0
2039-03-08,0.0,0.0
2039-03-09,0.0,0.0
2039-03-10,0.0,0.0
2039-03-11,0.0,0.0
2039-03-12,0.0,0.0
2039-03-13,0.0,0.0
2039-03-14,0.0,0.0
2039-03-15,0.0,0.0
2039-03-16,0.0,0.0
2039-03-17,0.0,0.0
2039-03-18,0.0,0.0
2039-03-19,0.0,0.0
2039-03-20,0.0,0.0
2039-03-21,0.0,0.0
2039-03-22,0.0,0.0
2039-03-23,0.0,0.0
2039-03-24,0.0,0.0
2039-03-25,0.0,0.0
2039-03-26,0.0,0.0
2039-03-27,0.0,0.0
2039-03-28,0.0,0.0
2039-03-29,0.0,0.0
2039-03-30,0.0,0.0
2039-03-31,0.0,0.0
2039-04-01,0.0,0.0
2039-04-02,0.0,0.0
2039-04-03,0.0,0.0
2039-04-04,0.0,0.0
2039-04-05,0.0,0.0
2039-04-06,0.0,0.0
2039-04-07,0.0,0.0
2039-04-08,0.0,0.0
2039-04-09,0.0,0.0
2039-04-10,0.0,0.0
2039-04-11,0.0,0.0
2039-04-12,0.0,0.0
2039-04-13,0.0,0.0
2039-04-14,0.0,0.0
2039-04-15,0.0,0.0
2039-04-16,0.0,0.0
2039-04-17,0.0,0.0
2039-04-18,0.0,0.0
2039-04-19,0.0,0.0
2039-04-20,0.0,0.0
2039-04-21,0.0,0.0
2039-04-22,0.0,0.0
2039-04-23,0.0,0.0
2039-04-24,0.0,0.0
2039-04-25,0.0,0.0
2039-04-26,0.0,0.0
2039-04-27,0.0,0.0
2039-04-28,0.0,0.0
2039-04-29,0.0,0.0
2039-04-30,0.0,0.0
2039-05-01,0.0,0.0
2039-05-02,0.0,0.0
2039-05-03,0.0,0.0
2039-05-04,0.0,0.0
2039-05-05,0.0,0.0
2039-05-06,0.0,0.0
2039-05-07,0.0,0.0
2039-05-08,0.0,0.0
2039-05-09,0.0,0.0
2039-05-10,0.0,0.0
2039-05-11,0.0,0.0
2039-05-12,0.0,0.0
2039-05-13,0.0,0.0
2039-05-14,0.0,0.0
2039-05-15,0.0,0.0
2039-05-16,0.0,0.0
2039-05-17,0.0,0.0
2039-05-18,0.0,0.0
2039-05-19,0.0,0.0
2039-05-20,0.0,0.0
2039-05-21,0.0,0.0
2039-05-22,0.0,0.0
2039-05-23,0.0,0.0
2039-05-24,0.0,0.0
2039-05-25,0.0,0.0
2039-05-26,0.0,0.0
2039-05-27,0.0,0.0
2039-05-28,0.0,0.0
2039-05-29,0.0,0.0
2039-05-30,0.0,0.0
2039-05-31,0.0,0.0
2039-06-01,0.0,28.32
2039-06-02,0.0,28.32
2039-06-03,0.0,28.32
2039-06-04,0.0,28.32
2039-06-05,0.0,28.32
2039-06-06,0.0,28.32
2039-06-07,0.0,28.32
2039-06-08,0.0,28.32
2039-06-09,0.0,28.32
2039-06-10,0.0,28.32
2039-06-11,0.0,28.32
2039-06-12,0.0,28.32
2039-06-13,0.0,28.32
2039-06-14,0.0,28.32
2039-06-15,0.0,28.32
2039-06-16,0.0,28.32
2039-06-17,0.0,28.32
2039-06-18,0.0,28.32
2039-06-19,0.0,28.32
