Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2038-01-01,64.88,0.0
2038-01-02,64.88,0.0
2038-01-03,64.88,0.0
2038-01-04,64.88,0.0
2038-01-05,64.88,0.0
2038-01-06,64.88,0.0
2038-01-07,64.88,0.0
2038-01-08,64.88,0.0
2038-01-09,64.88,0.0
2038-01-10,64.88,0.0
2038-01-11,64.88,0.0
2038-01-12,64.88,0.0
2038-01-13,64.88,0.0
2038-01-14,64.88,0.0
2038-01-15,64.88,0.0
2038-01-16,64.88,0.0
2038-01-17,64.88,0.0
2038-01-18,64.88,0.0
2038-01-19,64.88,0.0
2038-01-20,64.88,0.0
2038-01-21,64.88,0.0
2038-01-22,64.88,0.0
2038-01-23,64.88,0.0
2038-01-24,64.88,0.0
2038-01-25,64.88,0.0
2038-01-26,64.88,0.0
2038-01-27,64.88,0.0
2038-01-28,64.88,0.0
2038-01-29,64.88,0.0
2038-01-30,64.88,0.0
2038-01-31,64.88,0.0
2038-02-01,21.36,0.0
2038-02-02,21.36,0.0
2038-02-03,21.36,0.0
2038-02-04,21.36,0.0
2038-02-05,21.36,0.0
2038-02-06,21.36,0.0
2038-02-07,21.36,0.0
2038-02-08,21.36,0.0
2038-02-09,21.36,0.0
2038-02-10,21.36,0.0
2038-02-11,21.36,0.0
2038-02-12,21.36,0.0
2038-02-13,21.36,0.0
2038-02-14,21.36,0.0
2038-02-15,21.36,0.0
2038-02-16,21.36,0.0
2038-02-17,21.36,0.0
2038-02-18,21.36,0.0
2038-02-19,21.36,0.0
2038-02-20,21.36,0.0
2038-02-21,21.36,0.0
2038-02-22,21.36,0.0
2038-02-23,21.36,0.0
2038-02-24,21.36,0.0
2038-02-25,21.36,0.0
2038-02-26,21.36,0.0
2038-02-27,21.36,0.0
2038-02-28,21.36,0.0
2038-03-01,0.0,0.0
2038-03-02,0.0,0.0
2038-03-03,0.0,0.0
2038-03-04,0.0,0.0
2038-03-05,0.0,0.0
2038-03-06,0.0,0.0
2038-03-07,0.0,0.0
2038-03-08,0.0,0.0
2038-03-09,0.0,0.0
2038-03-10,0.0,0.0
2038-03-11,0.0,0.0
2038-03-12,0.0,0.0
2038-03-13,0.0,0.0
2038-03-14,0.0,0.0
2038-03-15,0.0,0.0
2038-03-16,0.0,0.0
2038-03-17,0.0,0.0
2038-03-18,0.0,0.0
2038-03-19,0.0,0.0
2038-03-20,0.0,0.0
2038-03-21,0.0,0.0
2038-03-22,0.0,0.0
2038-03-23,0.0,0.0
2038-03-24,0.0,0.0
2038-03-25,0.0,0.0
2038-03-26,0.0,0.0
2038-03-27,0.0,0.0
2038-03-28,0.0,0.0
2038-03-29,0.0,0.0
2038-03-30,0.0,0.0
2038-03-31,0.0,0.0
2038-04-01,0.0,0.0
2038-04-02,0.0,0.0
2038-04-03,0.0,0.0
2038-04-04,0.0,0.0
2038-04-05,0.0,0.0
2038-04-06,0.0,0.0
2038-04-07,0.0,0.0
2038-04-08,0.0,0.0
2038-04-09,0.0,0.0
2038-04-10,0.0,0.0
2038-04-11,0.0,0.0
2038-04-12,0.0,0.0
2038-04-13,0.0,0.0
2038-04-14,0.0,0.0
2038-04-15,0.0,0.0
2038-04-16,0.0,0.0
2038-04-17,0.0,0.0
2038-04-18,0.0,0.0
