Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2029-01-01,69.05,0.0
2029-01-02,69.05,0.0
2029-01-03,69.05,0.0
2029-01-04,69.05,0.0
2029-01-05,69.05,0.0
2029-01-06,69.05,0.0
2029-01-07,69.05,0.0
2029-01-08,69.05,0.0
2029-01-09,69.05,0.0
2029-01-10,69.05,0.0
2029-01-11,69.05,0.0
2029-01-12,69.05,0.0
2029-01-13,69.05,0.0
2029-01-14,69.05,0.0
2029-01-15,69.05,0.0
2029-01-16,69.05,0.0
2029-01-17,69.05,0.0
2029-01-18,69.05,0.0
2029-01-19,69.05,0.0
2029-01-20,69.05,0.0
2029-01-21,69.05,0.0
2029-01-22,69.05,0.0
2029-01-23,69.05,0.0
2029-01-24,69.05,0.0
2029-01-25,69.05,0.0
2029-01-26,69.05,0.0
2029-01-27,69.05,0.0
2029-01-28,69.05,0.0
2029-01-29,69.05,0.0
2029-01-30,69.05,0.0
2029-01-31,69.05,0.0
2029-02-01,25.6,0.0
2029-02-02,25.6,0.0
2029-02-03,25.6,0.0
2029-02-04,25.6,0.0
2029-02-05,25.6,0.0
2029-02-06,25.6,0.0
2029-02-07,25.6,0.0
2029-02-08,25.6,0.0
2029-02-09,25.6,0.0
2029-02-10,25.6,0.0
2029-02-11,25.6,0.0
2029-02-12,25.6,0.0
2029-02-13,25.6,0.0
2029-02-14,25.6,0.0
2029-02-15,25.6,0.0
2029-02-16,25.6,0.0
2029-02-17,25.6,0.0
2029-02-18,25.6,0.0
2029-02-19,25.6,0.0
2029-02-20,25.6,0.0
2029-02-21,25.6,0.0
2029-02-22,25.6,0.0
2029-02-23,25.6,0.0
2029-02-24,25.6,0.0
2029-02-25,25.6,0.0
2029-02-26,25.6,0.0
2029-02-27,25.6,0.0
2029-02-28,25.6,0.0
2029-03-01,0.0,0.0
2029-03-02,0.0,0.0
2029-03-03,0.0,0.0
2029-03-04,0.0,0.0
2029-03-05,0.0,0.0
2029-03-06,0.0,0.0
2029-03-07,0.0,0.0
2029-03-08,0.0,0.0
2029-03-09,0.0,0.0
2029-03-10,0.0,0.0
2029-03-11,0.0,0.0
2029-03-12,0.0,0.0
2029-03-13,0.0,0.0
2029-03-14,0.0,0.0
2029-03-15,0.0,0.0
2029-03-16,0.0,0.0
2029-03-17,0.0,0.0
2029-03-18,0.0,0.0
2029-03-19,0.0,0.0
2029-03-20,0.0,0.0
2029-03-21,0.0,0.0
2029-03-22,0.0,0.0
2029-03-23,0.0,0.0
2029-03-24,0.0,0.0
2029-03-25,0.0,0.0
2029-03-26,0.0,0.0
2029-03-27,0.0,0.0
2029-03-28,0.0,0.0
2029-03-29,0.0,0.0
2029-03-30,0.0,0.0
2029-03-31,0.0,0.0
2029-04-01,0.0,0.0
2029-04-02,0.0,0.0
2029-04-03,0.0,0.0
2029-04-04,0.0,0.0
2029-04-05,0.0,0.0
2029-04-06,0.0,0.0
2029-04-07,0.0,0.0
2029-04-08,0.0,0.0
2029-04-09,0.0,0.0
2029-04-10,0.0,0.0
2029-04-11,0.0,0.0
2029-04-12,0.0,0.0
2029-04-13,0.0,0.0
2029-04-14,0.0,0.0
2029-04-15,0.0,0.0
2029-04-16,0.0,0.0
2029-04-17,0.0,0.0
2029-04-18,0.0,0.0
2029-04-19,0.0,0.0
2029-04-20,0.0,0.0
2029-04-21,0.0,0.0
2029-04-22,0.0,0.0
2029-04-23,0.0,0.0
2029-04-24,0.0,0.0
2029-04-25,0.0,0.0
2029-04-26,0.0,0.0
2029-04-27,0.0,0.0
2029-04-28,0.0,0.0
2029-04-29,0.0,0.0
2029-04-30,0.0,0.0
2029-05-01,0.0,0.13
2029-05-02,0.0,0.13
2029-05-03,0.0,0.13
2029-05-04,0.0,0.13
2029-05-05,0.0,0.13
2029-05-06,0.0,0.13
2029-05-07,0.0,0.13
2029-05-08,0.0,0.13
2029-05-09,0.0,0.13
2029-05-10,0.0,0.13
2029-05-11,0.0,0.13
2029-05-12,0.0,0.13
2029-05-13,0.0,0.13
2029-05-14,0.0,0.13
2029-05-15,0.0,0.13
2029-05-16,0.0,0.13
2029-05-17,0.0,0.13
2029-05-18,0.0,0.13
2029-05-19,0.0,0.13
2029-05-20,0.0,0.13
2029-05-21,0.0,0.13
2029-05-22,0.0,0.13
2029-05-23,0.0,0.13
2029-05-24,0.0,0.13
2029-05-25,0.0,0.13
2029-05-26,0.0,0.13
2029-05-27,0.0,0.13
2029-05-28,0.0,0.13
2029-05-29,0.0,0.13
2029-05-30,0.0,0.13
2029-05-31,0.0,0.13
2029-06-01,0.0,28.99
2029-06-02,0.0,28.99
2029-06-03,0.0,28.99
2029-06-04,0.0,28.99
2029-06-05,0.0,28.99
2029-06-06,0.0,28.99
2029-06-07,0.0,28.99
2029-06-08,0.0,28.99
2029-06-09,0.0,28.99
2029-06-10,0.0,28.99
2029-06-11,0.0,28.99
2029-06-12,0.0,28.99
2029-06-13,0.0,28.99
2029-06-14,0.0,28.99
2029-06-15,0.0,28.99
2029-06-16,0.0,28.99
2029-06-17,0.0,28.99
2029-06-18,0.0,28.99
2029-06-19,0.0,28.99
2029-06-20,0.0,28.99
2029-06-21,0.0,28.99
2029-06-22,0.0,28.99
2029-06-23,0.0,28.99
2029-06-24,0.0,28.99
2029-06-25,0.0,28.99
2029-06-26,0.0,28.99
2029-06-27,0.0,28.99
2029-06-28,0.0,28.99
2029-06-29,0.0,28.99
2029-06-30,0.0,28.99
2029-07-01,0.0,137.66
2029-07-02,0.0,137.66
2029-07-03,0.0,137.66
2029-07-04,0.0,137.66
2029-07-05,0.0,137.66
2029-07-06,0.0,137.66
2029-07-07,0.0,137.66
2029-07-08,0.0,137.66
2029-07-09,0.0,137.66
2029-07-10,0.0,137.66
2029-07-11,0.0,137.66
2029-07-12,0.0,137.66
2029-07-13,0.0,137.66
2029-07-14,0.0,137.66
