Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2036-01-01,73.95,53.61,21.44,15.01,20.68,82.33,13.92,89.83,15.879999999999999,30.89
2036-01-02,73.94,53.61,21.44,15.01,20.68,82.32,13.92,89.82,15.879999999999999,30.89
2036-01-03,73.94,53.61,21.44,15.01,20.67,82.32,13.92,89.82,15.879999999999999,30.89
2036-01-04,73.94,53.61,21.44,15.01,20.67,82.32,13.92,89.82,15.879999999999999,30.89
2036-01-05,73.94,53.61,21.44,15.01,20.66,82.32,13.92,89.82,15.879999999999999,30.89
2036-01-06,73.935,53.61,21.44,15.01,20.655,82.315,13.92,89.815,15.879999999999999,30.89
2036-01-07,73.92500000000001,53.61,21.44,15.01,20.65,82.31,13.92,89.81,15.885000000000002,30.895
2036-01-08,73.92,53.61,21.44,15.01,20.645,82.31,13.92,89.81,15.89,30.9
2036-01-09,73.91499999999999,53.61,21.44,15.01,20.64,82.305,13.92,89.805,15.89,30.9
2036-01-10,73.905,53.61,21.44,15.01,20.634999999999998,82.3,13.92,89.8,15.895,30.905
2036-01-11,73.905,53.61,21.44,15.01,20.63,82.3,13.92,89.8,15.895,30.905
2036-01-12,73.89,53.61,21.44,15.01,20.625,82.29,13.92,89.79,15.9,30.91
2036-01-13,73.88499999999999,53.61,21.44,15.01,20.62,82.29,13.92,89.79,15.905000000000001,30.915
2036-01-14,73.87,53.61,21.44,15.01,20.615000000000002,82.28,13.92,89.78,15.91,30.92
2036-01-15,73.86500000000001,53.61,21.44,15.01,20.61,82.275,13.92,89.775,15.91,30.92
2036-01-16,73.85499999999999,53.61,21.44,15.01,20.605,82.27,13.92,89.77,15.915,30.925
2036-01-17,74.25,53.61,21.44,15.01,20.6,82.26,13.92,90.26,16.01,31.02
2036-01-18,73.825,53.61,21.44,15.01,20.595,82.255,13.92,89.755,15.93,30.94
2036-01-19,73.82,53.61,21.44,15.01,20.59,82.25,13.92,89.75,15.93,30.94
2036-01-20,73.8,53.61,21.44,15.01,20.585,82.24,13.92,89.74,15.940000000000001,30.95
2036-01-21,73.795,53.61,21.44,15.01,20.58,82.235,13.92,89.735,15.940000000000001,30.95
2036-01-22,73.775,53.61,21.44,15.01,20.575,82.225,13.92,89.725,15.95,30.96
2036-01-23,73.765,53.61,21.44,15.01,20.57,82.215,13.92,89.715,15.95,30.96
2036-01-24,73.745,53.61,21.44,15.01,20.56,82.205,13.92,89.705,15.96,30.97
2036-01-25,73.72999999999999,53.61,21.44,15.01,20.56,82.2,13.92,89.7,15.969999999999999,30.98
2036-01-26,73.715,53.61,21.44,15.01,20.55,82.19,13.92,89.69,15.975000000000001,30.985
2036-01-27,73.7,53.61,21.44,15.01,20.55,82.18,13.92,89.68,15.98,30.99
2036-01-28,73.675,53.61,21.44,15.01,20.54,82.16499999999999,13.92,89.66499999999999,15.989999999999998,31.0
2036-01-29,73.655,53.61,21.44,15.01,20.54,82.155,13.92,89.655,16.0,31.01
2036-01-30,73.64,53.61,21.44,15.01,20.53,82.14500000000001,13.92,89.64500000000001,16.005000000000003,31.015
2036-01-31,73.62,53.61,21.44,15.01,20.53,82.13499999999999,13.92,89.63499999999999,16.015,31.025
2036-02-01,60.265,47.81,19.12,13.39,21.01,75.17,14.25,80.17,19.905,33.295
2036-02-02,60.25,47.81,19.12,13.39,21.005000000000003,75.16,14.25,80.16,19.91,33.3
2036-02-03,60.235,47.81,19.12,13.39,21.0,75.15,14.25,80.15,19.915,33.305
2036-02-04,59.845,47.81,19.12,13.39,20.994999999999997,75.14,14.25,79.64,19.795,33.185
2036-02-05,60.205,47.81,19.12,13.39,20.99,75.13499999999999,14.25,80.13499999999999,19.93,33.32
2036-02-06,60.195,47.81,19.12,13.39,20.985,75.125,14.25,80.125,19.93,33.32
2036-02-07,59.8,47.81,19.12,13.39,20.98,75.11500000000001,14.25,79.61500000000001,19.815,33.205
2036-02-08,60.155,47.81,19.12,13.39,20.97,75.1,14.25,80.1,19.945,33.335
2036-02-09,60.14,47.81,19.12,13.39,20.97,75.09,14.25,80.09,19.95,33.34
2036-02-10,60.125,47.81,19.12,13.39,20.96,75.08,14.25,80.08,19.955,33.345
2036-02-11,59.735,47.81,19.12,13.39,20.96,75.07,14.25,79.57,19.835,33.225
2036-02-12,60.09,47.81,19.12,13.39,20.95,75.06,14.25,80.06,19.97,33.36
2036-02-13,60.075,47.81,19.12,13.39,20.95,75.045,14.25,80.045,19.97,33.36
2036-02-14,60.055,47.81,19.12,13.39,20.94,75.035,14.25,80.035,19.98,33.37
2036-02-15,59.66,47.81,19.12,13.39,20.94,75.025,14.25,79.525,19.865,33.255
2036-02-16,60.015,47.81,19.12,13.39,20.93,75.01,14.25,80.01,19.994999999999997,33.385000000000005
2036-02-17,60.0,47.81,19.12,13.39,20.93,75.0,14.25,80.0,20.0,33.39
2036-02-18,59.599999999999994,47.81,19.12,13.39,20.92,74.985,14.25,79.485,19.885,33.275
2036-02-19,59.96,47.81,19.12,13.39,20.92,74.975,14.25,79.975,20.015,33.405
2036-02-20,59.935,47.81,19.12,13.39,20.91,74.96,14.25,79.96,20.025,33.415
2036-02-21,59.915,47.81,19.12,13.39,20.91,74.945,14.25,79.945,20.03,33.42
2036-02-22,59.519999999999996,47.81,19.12,13.39,20.9,74.935,14.25,79.435,19.915,33.305
2036-02-23,59.870000000000005,47.81,19.12,13.39,20.895,74.91499999999999,14.25,79.91499999999999,20.045,33.435
2036-02-24,59.855000000000004,47.81,19.12,13.39,20.89,74.905,14.25,79.905,20.05,33.44
2036-02-25,59.83,47.81,19.12,13.39,20.884999999999998,74.89,14.25,79.89,20.06,33.45
2036-02-26,59.43,47.81,19.12,13.39,20.88,74.875,14.25,79.375,19.945,33.335
2036-02-27,59.785,47.81,19.12,13.39,20.875,74.86,14.25,79.86,20.075,33.465
2036-02-28,59.760000000000005,47.81,19.12,13.39,20.87,74.845,14.25,79.845,20.085,33.474999999999994
2036-02-29,59.365,47.81,19.12,13.39,20.865000000000002,74.83,14.25,79.33,19.965,33.355
2036-03-01,37.93,40.7,16.28,11.4,38.125,61.59,26.045,61.59,23.66,35.06
2036-03-02,37.92,40.7,16.28,11.4,38.114999999999995,61.58,26.04,61.58,23.66,35.06
2036-03-03,37.915,40.7,16.28,11.4,38.1,61.575,26.04,61.575,23.66,35.06
2036-03-04,37.91,40.7,16.28,11.4,38.09,61.57,26.04,61.57,23.66,35.06
2036-03-05,37.9,40.7,16.28,11.4,38.08,61.56,26.035,61.56,23.66,35.06
2036-03-06,37.89,40.7,16.28,11.4,38.065,61.555,26.03,61.555,23.665,35.065
2036-03-07,37.88,40.7,16.28,11.4,38.055,61.55,26.03,61.55,23.67,35.07
2036-03-08,37.87,40.7,16.28,11.4,38.045,61.54,26.03,61.54,23.67,35.07
2036-03-09,37.864999999999995,40.7,16.28,11.4,38.03,61.535,26.025,61.535,23.67,35.07
2036-03-10,37.86,40.7,16.28,11.4,38.02,61.53,26.02,61.53,23.67,35.07
2036-03-11,37.85,40.7,16.28,11.4,38.01,61.52,26.02,61.52,23.67,35.07
2036-03-12,37.84,40.7,16.28,11.4,37.995000000000005,61.515,26.02,61.515,23.675,35.075
2036-03-13,37.83,40.7,16.28,11.4,37.985,61.504999999999995,26.015,61.504999999999995,23.675,35.075
2036-03-14,37.82,40.7,16.28,11.4,37.974999999999994,61.5,26.01,61.5,23.68,35.08
2036-03-15,37.81,40.7,16.28,11.4,37.965,61.49,26.01,61.49,23.68,35.08
2036-03-16,37.8,40.7,16.28,11.4,37.95,61.48,26.01,61.48,23.68,35.08
2036-03-17,37.795,40.7,16.28,11.4,37.94,61.474999999999994,26.005000000000003,61.474999999999994,23.68,35.08
2036-03-18,37.78,40.7,16.28,11.4,37.925,61.465,26.0,61.465,23.685000000000002,35.085
2036-03-19,37.77,40.7,16.28,11.4,37.915,61.46,26.0,61.46,23.69,35.09
2036-03-20,37.76,40.7,16.28,11.4,37.905,61.45,26.0,61.45,23.69,35.09
2036-03-21,37.75,40.7,16.28,11.4,37.894999999999996,61.44,25.994999999999997,61.44,23.69,35.09
2036-03-22,37.74,40.7,16.28,11.4,37.88,61.43,25.99,61.43,23.69,35.09
2036-03-23,37.724999999999994,40.7,16.28,11.4,37.87,61.425,25.99,61.425,23.7,35.1
2036-03-24,37.715,40.7,16.28,11.4,37.86,61.415,25.99,61.415,23.7,35.1
2036-03-25,37.705,40.7,16.28,11.4,37.845,61.405,25.985,61.405,23.7,35.1
2036-03-26,37.695,40.7,16.28,11.4,37.835,61.394999999999996,25.98,61.394999999999996,23.7,35.1
2036-03-27,37.685,40.7,16.28,11.4,37.825,61.385000000000005,25.98,61.385000000000005,23.7,35.1
2036-03-28,37.67,40.7,16.28,11.4,37.81,61.375,25.98,61.375,23.705,35.105000000000004
2036-03-29,37.66,40.7,16.28,11.4,37.8,61.37,25.975,61.37,23.71,35.11
2036-03-30,37.65,40.7,16.28,11.4,37.79,61.36,25.97,61.36,23.71,35.11
2036-03-31,37.64,40.7,16.28,11.4,37.775000000000006,61.35,25.97,61.35,23.71,35.11
2036-04-01,31.64,58.8,23.52,16.46,62.155,56.25,42.735,56.25,24.61,41.07
2036-04-02,31.64,58.8,23.52,16.46,62.135000000000005,56.25,42.724999999999994,56.25,24.61,41.07
2036-04-03,31.64,58.8,23.52,16.46,62.114999999999995,56.25,42.715,56.25,24.61,41.07
2036-04-04,31.64,58.8,23.52,16.46,62.095,56.25,42.71,56.25,24.61,41.07
2036-04-05,31.64,58.8,23.52,16.46,62.075,56.25,42.7,56.25,24.61,41.07
2036-04-06,31.64,58.8,23.52,16.46,62.055,56.25,42.69,56.25,24.61,41.07
2036-04-07,31.64,58.8,23.52,16.46,62.035,56.25,42.685,56.25,24.61,41.07
2036-04-08,31.64,58.8,23.52,16.46,62.015,56.25,42.675,56.25,24.61,41.07
2036-04-09,31.634999999999998,58.8,23.52,16.46,61.995000000000005,56.245000000000005,42.67,56.245000000000005,24.61,41.07
2036-04-10,31.63,58.8,23.52,16.46,61.974999999999994,56.24,42.66,56.24,24.61,41.07
2036-04-11,31.63,58.8,23.52,16.46,61.955,56.24,42.65,56.24,24.61,41.07
