Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2032-01-01,51.92,53.61,21.44,15.01,20.56,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-02,51.92,53.61,21.44,15.01,20.56,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-03,51.92,53.61,21.44,15.01,20.555,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-04,51.92,53.61,21.44,15.01,20.55,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-05,51.92,53.61,21.44,15.01,20.55,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-06,51.92,53.61,21.44,15.01,20.545,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-07,51.92,53.61,21.44,15.01,20.54,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-08,51.92,53.61,21.44,15.01,20.54,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-09,51.92,53.61,21.44,15.01,20.53,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-10,51.92,53.61,21.44,15.01,20.53,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-11,51.92,53.61,21.44,15.01,20.525,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-12,51.92,53.61,21.44,15.01,20.52,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-13,51.92,53.61,21.44,15.01,20.52,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-14,51.92,53.61,21.44,15.01,20.515,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-15,51.92,53.61,21.44,15.01,20.51,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-16,51.92,53.61,21.44,15.01,20.51,68.4,13.92,75.9,23.98,38.989999999999995
2032-01-17,51.915,53.61,21.44,15.01,20.5,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-18,51.915,53.61,21.44,15.01,20.5,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-19,51.915,53.61,21.44,15.01,20.5,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-20,52.26,53.61,21.44,15.01,20.49,68.4,13.92,76.4,24.14,39.15
2032-01-21,51.915,53.61,21.44,15.01,20.49,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-22,51.915,53.61,21.44,15.01,20.485,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-23,51.915,53.61,21.44,15.01,20.48,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-24,51.915,53.61,21.44,15.01,20.48,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-25,51.915,53.61,21.44,15.01,20.475,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-26,51.915,53.61,21.44,15.01,20.47,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-27,51.915,53.61,21.44,15.01,20.47,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-28,51.915,53.61,21.44,15.01,20.46,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-29,51.915,53.61,21.44,15.01,20.46,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-30,51.915,53.61,21.44,15.01,20.455,68.4,13.92,75.9,23.985,38.995000000000005
2032-01-31,51.915,53.61,21.44,15.01,20.45,68.4,13.92,75.9,23.985,38.995000000000005
2032-02-01,56.3,47.81,19.12,13.39,20.93,72.58,14.25,77.58,21.28,34.67
2032-02-02,56.3,47.81,19.12,13.39,20.93,72.58,14.25,77.58,21.28,34.67
2032-02-03,56.3,47.81,19.12,13.39,20.925,72.58,14.25,77.58,21.28,34.67
2032-02-04,55.935,47.81,19.12,13.39,20.92,72.57499999999999,14.25,77.07499999999999,21.14,34.53
