Date,Canals to Kuraz Sugar Plantations
2038-01-01,82.32
2038-01-02,82.32
2038-01-03,82.32
2038-01-04,82.32
2038-01-05,82.32
2038-01-06,82.315
2038-01-07,82.315
2038-01-08,82.31
2038-01-09,82.305
2038-01-10,82.305
2038-01-11,82.295
2038-01-12,82.29
2038-01-13,82.285
2038-01-14,82.28
2038-01-15,82.28
2038-01-16,82.275
2038-01-17,82.265
2038-01-18,82.255
2038-01-19,82.25
2038-01-20,82.245
2038-01-21,82.235
2038-01-22,82.22
2038-01-23,82.215
2038-01-24,82.21
2038-01-25,82.2
2038-01-26,82.185
2038-01-27,82.17500000000001
2038-01-28,82.17
2038-01-29,82.15
2038-01-30,82.14500000000001
2038-01-31,82.14
2038-02-01,75.17500000000001
2038-02-02,75.16
2038-02-03,75.155
2038-02-04,75.14
2038-02-05,75.13
2038-02-06,75.125
2038-02-07,75.11
2038-02-08,75.1
2038-02-09,75.09
2038-02-10,75.08
2038-02-11,75.07
2038-02-12,75.06
2038-02-13,75.045
2038-02-14,75.035
2038-02-15,75.02
2038-02-16,75.00999999999999
2038-02-17,75.0
2038-02-18,74.98
2038-02-19,74.975
2038-02-20,74.955
2038-02-21,74.945
2038-02-22,74.93
2038-02-23,74.91499999999999
2038-02-24,74.905
2038-02-25,74.89
2038-02-26,74.87
2038-02-27,74.86500000000001
2038-02-28,74.845
2038-03-01,61.59
2038-03-02,61.58
2038-03-03,61.58
2038-03-04,61.575
2038-03-05,61.57
2038-03-06,61.57
2038-03-07,61.555
2038-03-08,61.54
2038-03-09,61.54
2038-03-10,61.535
2038-03-11,61.53
2038-03-12,61.52
2038-03-13,61.52
2038-03-14,61.5
2038-03-15,61.5
2038-03-16,61.49
2038-03-17,61.48
2038-03-18,61.48
2038-03-19,61.465
2038-03-20,61.45
2038-03-21,61.45
2038-03-22,61.44
2038-03-23,61.44
2038-03-24,61.42
2038-03-25,61.41
2038-03-26,61.405
2038-03-27,61.394999999999996
2038-03-28,61.39
2038-03-29,61.37
2038-03-30,61.364999999999995
2038-03-31,61.355000000000004
2038-04-01,56.25
2038-04-02,56.25
2038-04-03,56.25
2038-04-04,56.25
2038-04-05,56.25
2038-04-06,56.25
2038-04-07,56.25
2038-04-08,56.25
2038-04-09,56.25
2038-04-10,56.25
2038-04-11,56.25
2038-04-12,56.245000000000005
2038-04-13,56.24
2038-04-14,56.24
2038-04-15,56.24
2038-04-16,56.24
2038-04-17,56.24
2038-04-18,56.24
2038-04-19,56.24
2038-04-20,56.24
2038-04-21,56.24
2038-04-22,56.24
2038-04-23,56.24
2038-04-24,56.235
2038-04-25,56.23
2038-04-26,56.23
2038-04-27,56.23
2038-04-28,56.23
2038-04-29,56.23
2038-04-30,56.23
2038-05-01,56.51
2038-05-02,56.51
2038-05-03,56.53
2038-05-04,56.53
2038-05-05,56.53
2038-05-06,56.53
2038-05-07,56.53
2038-05-08,56.52
2038-05-09,56.52
2038-05-10,56.53
2038-05-11,56.54
2038-05-12,56.54
2038-05-13,56.54
2038-05-14,56.54
2038-05-15,56.54
2038-05-16,56.54
2038-05-17,56.54
2038-05-18,56.535
2038-05-19,56.54
2038-05-20,56.54
2038-05-21,56.54
2038-05-22,56.54
2038-05-23,56.54
2038-05-24,56.54
2038-05-25,56.54
2038-05-26,56.54
2038-05-27,56.54
2038-05-28,56.54
2038-05-29,56.545
2038-05-30,56.55
2038-05-31,56.55
2038-06-01,58.1
2038-06-02,58.08
2038-06-03,58.085
2038-06-04,58.08
2038-06-05,58.07
2038-06-06,58.07
2038-06-07,58.065
2038-06-08,58.06
2038-06-09,58.055
2038-06-10,58.05
2038-06-11,58.05
2038-06-12,58.05
2038-06-13,58.035
2038-06-14,58.03
2038-06-15,58.025000000000006
2038-06-16,58.01
2038-06-17,58.01
2038-06-18,58.01
2038-06-19,58.004999999999995
2038-06-20,58.0
2038-06-21,57.995000000000005
2038-06-22,57.99
2038-06-23,57.99
2038-06-24,57.99
2038-06-25,57.98
2038-06-26,57.96
2038-06-27,57.96
2038-06-28,57.95
2038-06-29,57.95
2038-06-30,57.95
2038-07-01,59.67
2038-07-02,59.655
2038-07-03,59.66
2038-07-04,59.665
2038-07-05,59.67
2038-07-06,59.67
2038-07-07,59.67
2038-07-08,59.675
2038-07-09,59.68
2038-07-10,59.68
2038-07-11,59.68
2038-07-12,59.68
2038-07-13,59.67
2038-07-14,59.67
2038-07-15,59.67
2038-07-16,59.67
2038-07-17,59.67
2038-07-18,59.67
2038-07-19,59.67
2038-07-20,59.67
2038-07-21,59.67
2038-07-22,59.67
2038-07-23,59.67
2038-07-24,59.67
2038-07-25,59.67
2038-07-26,59.67
2038-07-27,59.67
2038-07-28,59.67
2038-07-29,59.67
2038-07-30,59.67
2038-07-31,59.67
2038-08-01,61.41
2038-08-02,61.41
2038-08-03,61.41
2038-08-04,61.41
2038-08-05,61.41
2038-08-06,61.41
2038-08-07,61.41
2038-08-08,61.41
2038-08-09,61.41
2038-08-10,61.41
2038-08-11,61.41
2038-08-12,61.41
2038-08-13,61.41
2038-08-14,61.41
2038-08-15,61.41
2038-08-16,61.41
2038-08-17,61.41
2038-08-18,61.41
2038-08-19,61.41
2038-08-20,61.41
2038-08-21,61.41
2038-08-22,61.41
2038-08-23,61.41
2038-08-24,61.41
2038-08-25,61.41
2038-08-26,61.41
2038-08-27,61.41
2038-08-28,61.41
2038-08-29,61.41
2038-08-30,61.41
2038-08-31,61.41
2038-09-01,62.95
2038-09-02,62.95
2038-09-03,62.95
2038-09-04,62.95
2038-09-05,62.95
2038-09-06,62.95
2038-09-07,62.95
2038-09-08,62.95
2038-09-09,62.95
2038-09-10,62.95
2038-09-11,62.95
2038-09-12,62.95
2038-09-13,62.95
2038-09-14,62.95
2038-09-15,62.95
2038-09-16,62.95
2038-09-17,62.95
2038-09-18,62.95
2038-09-19,62.95
2038-09-20,62.95
2038-09-21,62.95
2038-09-22,62.95
2038-09-23,62.95
2038-09-24,62.95
2038-09-25,62.95
2038-09-26,62.95
2038-09-27,62.95
2038-09-28,62.95
2038-09-29,62.95
2038-09-30,62.95
2038-10-01,64.09
2038-10-02,64.08500000000001
2038-10-03,64.08500000000001
2038-10-04,64.08500000000001
2038-10-05,64.08500000000001
2038-10-06,64.09
2038-10-07,64.08500000000001
2038-10-08,64.08500000000001
2038-10-09,64.09
2038-10-10,64.08
2038-10-11,64.09
2038-10-12,64.08500000000001
2038-10-13,64.08500000000001
2038-10-14,64.09
2038-10-15,64.08500000000001
2038-10-16,64.08500000000001
2038-10-17,64.09
2038-10-18,64.08500000000001
2038-10-19,64.09
