Date,Canals to Kuraz Sugar Plantations
2029-01-01,50.4
2029-01-02,50.4
2029-01-03,50.4
2029-01-04,50.4
2029-01-05,50.4
2029-01-06,50.4
2029-01-07,50.4
2029-01-08,50.4
2029-01-09,50.41
2029-01-10,50.41
2029-01-11,50.41
2029-01-12,50.41
2029-01-13,50.41
2029-01-14,50.41
2029-01-15,50.41
2029-01-16,50.41
2029-01-17,50.41
2029-01-18,50.41
2029-01-19,50.41
2029-01-20,50.41
2029-01-21,50.41
2029-01-22,50.41
2029-01-23,50.41
2029-01-24,50.41
2029-01-25,50.41
2029-01-26,50.415
2029-01-27,50.42
2029-01-28,50.42
2029-01-29,50.42
2029-01-30,50.42
2029-01-31,50.42
2029-02-01,50.61
2029-02-02,50.61
2029-02-03,50.61
2029-02-04,50.61
2029-02-05,50.61
2029-02-06,50.61
2029-02-07,50.61
2029-02-08,50.63
2029-02-09,50.63
2029-02-10,50.63
2029-02-11,50.625
2029-02-12,50.62
2029-02-13,50.62
2029-02-14,50.62
2029-02-15,50.62
2029-02-16,50.62
2029-02-17,50.62
2029-02-18,50.62
2029-02-19,50.62
2029-02-20,50.629999999999995
2029-02-21,50.64
2029-02-22,50.64
2029-02-23,50.64
2029-02-24,50.63
2029-02-25,50.63
2029-02-26,50.63
2029-02-27,50.63
2029-02-28,50.63
2029-03-01,50.91
2029-03-02,50.91
2029-03-03,50.91
2029-03-04,50.91
2029-03-05,50.91
2029-03-06,50.92
2029-03-07,50.92
2029-03-08,50.92
2029-03-09,50.92
2029-03-10,50.92
2029-03-11,50.92
2029-03-12,50.92
2029-03-13,50.92
2029-03-14,50.92
2029-03-15,50.92
2029-03-16,50.92
2029-03-17,50.93
2029-03-18,50.93
2029-03-19,50.93
2029-03-20,50.93
2029-03-21,50.93
2029-03-22,50.93
2029-03-23,50.93
2029-03-24,50.93
2029-03-25,50.93
2029-03-26,50.93
2029-03-27,50.93
2029-03-28,50.935
2029-03-29,50.94
2029-03-30,50.94
2029-03-31,50.94
2029-04-01,51.3
2029-04-02,51.3
2029-04-03,51.3
2029-04-04,51.3
2029-04-05,51.31
2029-04-06,51.31
2029-04-07,51.31
