Date,Canals to Kuraz Sugar Plantations
2031-01-01,54.58
2031-01-02,54.575
2031-01-03,54.575
2031-01-04,54.575
2031-01-05,54.575
2031-01-06,54.575
2031-01-07,54.575
2031-01-08,54.575
2031-01-09,54.575
2031-01-10,54.575
2031-01-11,54.575
2031-01-12,54.575
2031-01-13,54.575
2031-01-14,54.575
2031-01-15,54.58
2031-01-16,54.575
2031-01-17,54.575
2031-01-18,54.575
2031-01-19,54.575
2031-01-20,54.575
2031-01-21,54.575
2031-01-22,54.575
2031-01-23,54.575
2031-01-24,54.575
2031-01-25,54.575
2031-01-26,54.575
2031-01-27,54.575
2031-01-28,54.575
2031-01-29,54.575
2031-01-30,54.575
2031-01-31,54.575
2031-02-01,56.96
2031-02-02,56.96
2031-02-03,56.96
2031-02-04,56.96
2031-02-05,56.96
2031-02-06,56.96
2031-02-07,56.96
2031-02-08,56.96
2031-02-09,56.96
2031-02-10,56.96
2031-02-11,56.96
2031-02-12,56.96
2031-02-13,56.96
2031-02-14,56.96
2031-02-15,56.96
2031-02-16,56.96
2031-02-17,56.96
2031-02-18,56.96
2031-02-19,56.96
2031-02-20,56.96
2031-02-21,56.96
2031-02-22,56.96
2031-02-23,56.96
2031-02-24,56.96
2031-02-25,56.96
2031-02-26,56.96
2031-02-27,56.96
2031-02-28,56.96
2031-03-01,60.24
2031-03-02,60.24
2031-03-03,60.24
2031-03-04,60.24
2031-03-05,60.24
2031-03-06,60.24
2031-03-07,60.24
2031-03-08,60.24
2031-03-09,60.24
2031-03-10,60.24
2031-03-11,60.24
2031-03-12,60.24
2031-03-13,60.22
2031-03-14,60.22
2031-03-15,60.22
2031-03-16,60.22
2031-03-17,60.22
2031-03-18,60.23
2031-03-19,60.23
2031-03-20,60.23
2031-03-21,60.23
2031-03-22,60.23
2031-03-23,60.23
2031-03-24,60.23
2031-03-25,60.21
2031-03-26,60.21
2031-03-27,60.21
2031-03-28,60.21
2031-03-29,60.21
2031-03-30,60.21
2031-03-31,60.21
2031-04-01,64.435
2031-04-02,64.43
2031-04-03,64.43
2031-04-04,64.43
2031-04-05,64.43
2031-04-06,64.43
2031-04-07,64.43
2031-04-08,64.43
2031-04-09,64.42
2031-04-10,64.42
2031-04-11,64.42
2031-04-12,64.42
2031-04-13,64.42
2031-04-14,64.42
2031-04-15,64.42
2031-04-16,64.42
2031-04-17,64.42
2031-04-18,64.42
2031-04-19,64.42
2031-04-20,64.41
2031-04-21,64.4
2031-04-22,64.41
2031-04-23,64.4
2031-04-24,64.39
2031-04-25,64.39
2031-04-26,64.39
2031-04-27,64.39
2031-04-28,64.39
2031-04-29,64.39
2031-04-30,64.39
2031-05-01,69.52
2031-05-02,69.52
2031-05-03,69.52
2031-05-04,69.52
2031-05-05,69.52
2031-05-06,69.52
2031-05-07,69.52
2031-05-08,69.52
2031-05-09,69.52
2031-05-10,69.52
2031-05-11,69.50999999999999
2031-05-12,69.5
2031-05-13,69.505
2031-05-14,69.5
2031-05-15,69.5
2031-05-16,69.5
2031-05-17,69.495
2031-05-18,69.49
2031-05-19,69.49
2031-05-20,69.49
2031-05-21,69.49
2031-05-22,69.49
2031-05-23,69.49
2031-05-24,69.47
2031-05-25,69.47
2031-05-26,69.47
2031-05-27,69.47
2031-05-28,69.47
2031-05-29,69.47
2031-05-30,69.47
2031-05-31,69.46
2031-06-01,75.34
2031-06-02,75.34
2031-06-03,75.36
2031-06-04,75.36
2031-06-05,75.36
2031-06-06,75.36
2031-06-07,75.36
2031-06-08,75.37
2031-06-09,75.375
2031-06-10,75.38
2031-06-11,75.38
2031-06-12,75.38499999999999
2031-06-13,75.39
2031-06-14,75.39
2031-06-15,75.4
2031-06-16,75.4
2031-06-17,75.4
2031-06-18,75.4
2031-06-19,75.41
2031-06-20,75.41
2031-06-21,75.42
2031-06-22,75.42
2031-06-23,75.42
2031-06-24,75.42
2031-06-25,75.43
2031-06-26,75.43
2031-06-27,75.435
2031-06-28,75.44
2031-06-29,75.44
2031-06-30,75.44
2031-07-01,81.755
2031-07-02,81.775
2031-07-03,81.795
