Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2039-01-01,98.77,29.72
2039-01-02,98.77,29.72
2039-01-03,98.77,29.72
2039-01-04,98.77,29.72
2039-01-05,98.77,29.72
2039-01-06,98.77,29.72
2039-01-07,98.77,29.72
2039-01-08,98.77,29.72
2039-01-09,98.77,29.72
2039-01-10,98.77,29.72
2039-01-11,98.77,29.72
2039-01-12,98.77,29.72
2039-01-13,98.77,29.72
2039-01-14,98.77,29.72
2039-01-15,98.77,29.72
2039-01-16,98.77,29.72
2039-01-17,98.77,29.72
2039-01-18,98.77,29.72
2039-01-19,98.77,29.72
2039-01-20,98.77,29.72
2039-01-21,98.77,29.72
2039-01-22,98.77,29.72
2039-01-23,98.77,29.72
2039-01-24,98.77,29.72
2039-01-25,98.77,29.72
2039-01-26,98.77,29.72
2039-01-27,98.77,29.72
2039-01-28,98.77,29.72
2039-01-29,98.77,29.72
2039-01-30,98.77,29.72
2039-01-31,98.77,29.72
2039-02-01,56.58,26.5
2039-02-02,56.58,26.5
2039-02-03,56.58,26.5
2039-02-04,56.58,26.5
2039-02-05,56.58,26.5
2039-02-06,56.58,26.5
2039-02-07,56.58,26.5
2039-02-08,56.58,26.5
2039-02-09,56.58,26.5
2039-02-10,56.58,26.5
2039-02-11,56.58,26.5
2039-02-12,56.58,26.5
2039-02-13,56.58,26.5
2039-02-14,56.58,26.5
2039-02-15,56.58,26.5
2039-02-16,56.58,26.5
2039-02-17,56.58,26.5
2039-02-18,56.58,26.5
2039-02-19,56.58,26.5
2039-02-20,56.58,26.5
2039-02-21,56.58,26.5
2039-02-22,56.58,26.5
2039-02-23,56.58,26.5
2039-02-24,56.58,26.5
2039-02-25,56.58,26.5
2039-02-26,56.58,26.5
2039-02-27,56.58,26.5
2039-02-28,56.58,26.5
2039-03-01,15.43,22.56
2039-03-02,15.43,22.56
2039-03-03,15.43,22.56
2039-03-04,15.43,22.56
2039-03-05,15.43,22.56
2039-03-06,15.43,22.56
2039-03-07,15.43,22.56
2039-03-08,15.43,22.56
2039-03-09,15.43,22.56
2039-03-10,15.43,22.56
2039-03-11,15.43,22.56
2039-03-12,15.43,22.56
2039-03-13,15.43,22.56
2039-03-14,15.43,22.56
2039-03-15,15.43,22.56
2039-03-16,15.43,22.56
2039-03-17,15.43,22.56
2039-03-18,15.43,22.56
2039-03-19,15.43,22.56
2039-03-20,15.43,22.56
2039-03-21,15.43,22.56
2039-03-22,15.43,22.56
2039-03-23,15.43,22.56
2039-03-24,15.43,22.56
2039-03-25,15.43,22.56
2039-03-26,15.43,22.56
2039-03-27,15.43,22.56
2039-03-28,15.43,22.56
2039-03-29,15.43,22.56
2039-03-30,15.43,22.56
2039-03-31,15.43,22.56
2039-04-01,0.0,32.59
2039-04-02,0.0,32.59
2039-04-03,0.0,32.59
2039-04-04,0.0,32.59
2039-04-05,0.0,32.59
2039-04-06,0.0,32.59
2039-04-07,0.0,32.59
2039-04-08,0.0,32.59
2039-04-09,0.0,32.59
2039-04-10,0.0,32.59
2039-04-11,0.0,32.59
2039-04-12,0.0,32.59
2039-04-13,0.0,32.59
2039-04-14,0.0,32.59
2039-04-15,0.0,32.59
