Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-02,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-03,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-04,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-05,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-06,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-07,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-08,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-09,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-10,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-11,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-12,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-13,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-14,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-15,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-16,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-17,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-18,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-19,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-20,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-21,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-22,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-23,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-24,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-25,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-26,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-27,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-28,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-29,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-30,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-01-31,25.41,53.61,21.44,15.01,20.73,50.41,0.34,50.41,25.0,40.01
2029-02-01,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-02,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-03,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-04,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-05,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-06,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-07,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-08,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-09,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-10,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-11,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-12,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-13,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-14,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-15,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-16,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-17,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-18,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-19,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-20,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-21,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-22,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-23,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-24,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-25,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-26,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-27,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-02-28,25.63,47.81,19.12,13.39,21.16,50.63,0.74,50.63,25.0,38.39
2029-03-01,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-02,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-03,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-04,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-05,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-06,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-07,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-08,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-09,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-10,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-11,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-12,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-13,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-14,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-15,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-16,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-17,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-18,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-19,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-20,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-21,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-22,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-23,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-24,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-25,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-26,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-27,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-28,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-29,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-30,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-03-31,25.93,40.7,16.28,11.4,38.46,50.92,1.81,50.92,24.99,36.39
2029-04-01,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-02,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-03,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-04,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-05,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-06,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-07,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-08,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-09,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-10,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-11,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-12,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-13,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-14,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-15,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-16,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-17,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-18,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-19,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-20,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-21,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-22,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-23,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-24,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-25,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-26,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-27,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-28,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-29,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-04-30,26.34,58.8,23.52,16.46,62.79,51.32,3.7,51.32,24.98,41.44
2029-05-01,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-02,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-03,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-04,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-05,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-06,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-07,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-08,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-09,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-10,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-11,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-12,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-13,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-14,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-15,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-16,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-17,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-18,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-19,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-20,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-21,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
2029-05-22,26.87,88.19,35.28,24.69,69.18,51.83,5.16,51.83,24.97,49.66
