Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2036-01-01,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-02,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-03,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-04,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-05,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-06,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-07,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-08,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-09,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-10,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-11,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-12,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-13,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-14,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-15,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-16,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-17,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-18,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-19,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-20,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-21,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-22,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-23,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-24,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-25,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-26,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-27,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-28,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-29,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-30,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-01-31,33.88,53.61,21.44,15.01,20.52,54.57,13.92,62.09,28.2,43.21
2036-02-01,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-02,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-03,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-04,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-05,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-06,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-07,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-08,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-09,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-10,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
2036-02-11,35.23,47.81,19.12,13.39,20.93,56.97,14.25,61.85,26.62,40.01
