Date,Gibe-III,Koysha
2029-01-01,208.07573,0.0
2029-01-02,208.0671,6.97615
2029-01-03,208.05848,13.93929
2029-01-04,208.04985,20.8894
2029-01-05,208.04122,23.51443
2029-01-06,208.03259,24.71991
2029-01-07,208.02395,25.9237
2029-01-08,208.01532,26.98414
2029-01-09,208.00669,27.89545
2029-01-10,207.99805,28.80591
2029-01-11,207.98943,29.68054
2029-01-12,207.9808,30.42743
2029-01-13,207.97217,31.17361
2029-01-14,207.96353,31.91943
2029-01-15,207.9549,32.5665
2029-01-16,207.94627,33.20585
2029-01-17,207.93763,33.8449
2029-01-18,207.929,34.43556
2029-01-19,207.92037,34.99897
2029-01-20,207.91174,35.56198
2029-01-21,207.90312,36.1055
2029-01-22,207.89449,36.61161
2029-01-23,207.88585,37.11749
2029-01-24,207.87721,37.62146
2029-01-25,207.86857,38.08265
2029-01-26,207.85994,38.54351
2029-01-27,207.8513,39.00405
2029-01-28,207.84267,39.43888
2029-01-29,207.83404,39.86337
2029-01-30,207.82541,40.28755
2029-01-31,207.81677,40.69991
2029-02-01,207.80814,41.09422
2029-02-02,207.79634,41.44422
2029-02-03,207.78455,41.79404
2029-02-04,207.77276,42.12556
2029-02-05,207.76096,42.45292
2029-02-06,207.74917,42.78011
2029-02-07,207.73738,43.10587
2029-02-08,207.72558,43.41387
2029-02-09,207.71377,43.72163
2029-02-10,207.70198,44.02921
2029-02-11,207.69018,44.33172
2029-02-12,207.67838,44.62266
2029-02-13,207.66658,44.91343
2029-02-14,207.65479,45.20405
2029-02-15,207.64299,45.48696
2029-02-16,207.63118,45.76296
2029-02-17,207.61938,46.03881
2029-02-18,207.60758,46.31451
2029-02-19,207.59578,46.58061
2029-02-20,207.58398,46.84335
2029-02-21,207.57217,47.10595
2029-02-22,207.56037,47.36841
2029-02-23,207.54856,47.61991
2029-02-24,207.53675,47.87079
2029-02-25,207.52495,48.12154
2029-02-26,207.51315,48.37051
2029-02-27,207.50134,48.61084
2029-02-28,207.48953,48.85104
2029-03-01,207.47772,49.09117
2029-03-02,207.45374,49.28273
2029-03-03,207.42977,49.46819
2029-03-04,207.40579,49.65345
2029-03-05,207.38181,49.83853
2029-03-06,207.35782,50.02349
2029-03-07,207.33384,50.20522
2029-03-08,207.30985,50.38311
2029-03-09,207.28586,50.56088
2029-03-10,207.26187,50.73847
2029-03-11,207.23787,50.91588
2029-03-12,207.21388,51.08897
2029-03-13,207.18989,51.25999
2029-03-14,207.16589,51.43088
2029-03-15,207.14189,51.6016
2029-03-16,207.11789,51.77221
2029-03-17,207.09389,51.93761
2029-03-18,207.06988,52.10229
2029-03-19,207.04588,52.26686
2029-03-20,207.02187,52.43125
2029-03-21,206.99786,52.59506
2029-03-22,206.97385,52.75404
2029-03-23,206.94984,52.91292
2029-03-24,206.92582,53.07163
2029-03-25,206.9018,53.23023
2029-03-26,206.87779,53.38741
2029-03-27,206.85377,53.54101
2029-03-28,206.82975,53.69444
2029-03-29,206.80573,53.84777
2029-03-30,206.78171,54.00094
2029-03-31,206.75768,54.15218
2029-04-01,206.73365,54.30076
2029-04-02,206.70617,54.51097
2029-04-03,206.67869,54.72091
2029-04-04,206.65121,54.92732
2029-04-05,206.62375,55.13089
