Date,Gibe-III,Koysha
2035-01-01,207.71291,178.49987
2035-01-02,207.68878,178.49989
2035-01-03,207.66465,178.49949
2035-01-04,207.64052,178.49951
2035-01-05,207.61637,178.49953
2035-01-06,207.59224,178.49954
2035-01-07,207.56809,178.49956
2035-01-08,207.54395,178.49958
2035-01-09,207.5198,178.49959
2035-01-10,207.49566,178.49961
2035-01-11,207.4715,178.49962
2035-01-12,207.44735,178.49964
2035-01-13,207.4232,178.49966
2035-01-14,207.39904,178.49967
2035-01-15,207.37489,178.49969
2035-01-16,207.35074,178.49971
2035-01-17,207.32658,178.49972
2035-01-18,207.30242,178.49974
2035-01-19,207.27827,178.49976
2035-01-20,207.25411,178.49977
2035-01-21,207.22995,178.49979
2035-01-22,207.2058,178.4998
2035-01-23,207.18165,178.49982
2035-01-24,207.15749,178.49984
2035-01-25,207.13334,178.49985
2035-01-26,207.10919,178.49987
2035-01-27,207.08504,178.49989
2035-01-28,207.06088,178.4999
2035-01-29,207.03674,178.49992
2035-01-30,207.0126,178.49994
2035-01-31,206.98845,178.49995
2035-02-01,206.96431,178.49997
2035-02-02,206.9405,178.49945
2035-02-03,206.91668,178.49976
2035-02-04,206.89287,178.49965
2035-02-05,206.86907,178.49954
2035-02-06,206.84526,178.49944
2035-02-07,206.82145,178.49974
2035-02-08,206.79765,178.49963
2035-02-09,206.77385,178.49953
2035-02-10,206.75005,178.49983
2035-02-11,206.72625,178.49972
2035-02-12,206.70246,178.49962
2035-02-13,206.67866,178.49951
2035-02-14,206.65487,178.49981
2035-02-15,206.63109,178.49971
2035-02-16,206.6073,178.4996
2035-02-17,206.58351,178.49949
2035-02-18,206.55973,178.4998
2035-02-19,206.53596,178.49969
2035-02-20,206.51218,178.49958
2035-02-21,206.48841,178.49989
2035-02-22,206.46464,178.49978
2035-02-23,206.44087,178.49967
2035-02-24,206.41711,178.49957
2035-02-25,206.39336,178.49987
2035-02-26,206.36961,178.49976
2035-02-27,206.34585,178.49966
2035-02-28,206.32211,178.49955
2035-03-01,206.29837,178.49985
2035-03-02,206.26911,178.49187
2035-03-03,206.23985,178.48389
2035-03-04,206.21059,178.47591
2035-03-05,206.18133,178.46792
2035-03-06,206.15207,178.45995
2035-03-07,206.12281,178.45198
2035-03-08,206.09354,178.444
2035-03-09,206.06429,178.43602
2035-03-10,206.03502,178.42805
2035-03-11,206.00576,178.42008
2035-03-12,205.97651,178.4121
2035-03-13,205.94724,178.40413
2035-03-14,205.91799,178.39617
2035-03-15,205.88873,178.3882
2035-03-16,205.85947,178.38024
2035-03-17,205.83022,178.37227
2035-03-18,205.80096,178.3643
2035-03-19,205.7717,178.35634
2035-03-20,205.74246,178.34838
2035-03-21,205.7132,178.34042
2035-03-22,205.68395,178.33247
2035-03-23,205.6547,178.32451
2035-03-24,205.62545,178.31655
2035-03-25,205.5962,178.30859
2035-03-26,205.56696,178.30064
2035-03-27,205.53771,178.29269
2035-03-28,205.50847,178.28474
2035-03-29,205.47922,178.27679
2035-03-30,205.44998,178.26884
2035-03-31,205.42075,178.2609
2035-04-01,205.39151,178.25295
2035-04-02,205.36167,178.2372
2035-04-03,205.33185,178.22145
2035-04-04,205.30201,178.2057
2035-04-05,205.27218,178.18995
2035-04-06,205.24235,178.17421
2035-04-07,205.21252,178.15848
2035-04-08,205.18269,178.14274
2035-04-09,205.15286,178.12701
2035-04-10,205.12303,178.11128
2035-04-11,205.0932,178.09556
2035-04-12,205.06337,178.07984
2035-04-13,205.03354,178.06412
2035-04-14,205.00372,178.04841
2035-04-15,204.97389,178.0327
2035-04-16,204.94407,178.017
2035-04-17,204.91425,178.0013
2035-04-18,204.88443,177.9856
2035-04-19,204.85461,177.9699
2035-04-20,204.82479,177.95421
2035-04-21,204.79497,177.93853
2035-04-22,204.76516,177.92285
2035-04-23,204.73533,177.90716
2035-04-24,204.70551,177.89149
2035-04-25,204.6757,177.87582
2035-04-26,204.64587,177.86014
2035-04-27,204.61606,177.84448
2035-04-28,204.58625,177.82882
2035-04-29,204.55644,177.81316
2035-04-30,204.52663,177.7975
2035-05-01,204.49682,177.78185
2035-05-02,204.47829,177.77207
2035-05-03,204.45978,177.76229
2035-05-04,204.44127,177.7525
2035-05-05,204.42276,177.74272
2035-05-06,204.40424,177.73295
2035-05-07,204.38574,177.72318
2035-05-08,204.36724,177.71341
2035-05-09,204.34874,177.70365
2035-05-10,204.33024,177.69389
2035-05-11,204.31174,177.68413
2035-05-12,204.29325,177.67437
2035-05-13,204.27476,177.66462
2035-05-14,204.25627,177.65488
2035-05-15,204.23778,177.64514
2035-05-16,204.2193,177.6354
2035-05-17,204.20082,177.62566
2035-05-18,204.18234,177.61593
2035-05-19,204.16386,177.6062
