Date,Gibe-III,Koysha
2038-01-01,207.12892,178.49992
2038-01-02,207.11835,178.49953
2038-01-03,207.10777,178.49955
2038-01-04,207.0972,178.49956
2038-01-05,207.08662,178.49958
2038-01-06,207.07605,178.4996
2038-01-07,207.06547,178.49961
2038-01-08,207.05489,178.49963
2038-01-09,207.04432,178.49964
2038-01-10,207.03375,178.49966
2038-01-11,207.02318,178.49968
2038-01-12,207.0126,178.49969
2038-01-13,207.00202,178.49971
2038-01-14,206.99144,178.49973
2038-01-15,206.98087,178.49974
2038-01-16,206.97029,178.49976
2038-01-17,206.95972,178.49978
2038-01-18,206.94915,178.49979
2038-01-19,206.93857,178.4994
2038-01-20,206.92799,178.49942
2038-01-21,206.91742,178.49943
2038-01-22,206.90684,178.49945
2038-01-23,206.89627,178.49946
2038-01-24,206.88569,178.49948
2038-01-25,206.87512,178.4995
2038-01-26,206.86455,178.49951
2038-01-27,206.85397,178.49953
2038-01-28,206.84339,178.49955
2038-01-29,206.83281,178.49956
2038-01-30,206.82223,178.49958
2038-01-31,206.81166,178.4996
2038-02-01,206.80109,178.49961
2038-02-02,206.78623,178.49951
2038-02-03,206.77137,178.49981
2038-02-04,206.7565,178.4997
2038-02-05,206.74164,178.4996
2038-02-06,206.72678,178.4999
2038-02-07,206.71192,178.49979
2038-02-08,206.69706,178.49969
2038-02-09,206.68219,178.49958
2038-02-10,206.66732,178.49988
2038-02-11,206.65246,178.49978
2038-02-12,206.6376,178.49967
2038-02-13,206.62273,178.49956
2038-02-14,206.60786,178.49987
2038-02-15,206.59299,178.49976
2038-02-16,206.57812,178.49965
2038-02-17,206.56325,178.49955
2038-02-18,206.54838,178.49985
2038-02-19,206.53351,178.49974
2038-02-20,206.51863,178.49964
2038-02-21,206.50376,178.49953
2038-02-22,206.48889,178.49983
2038-02-23,206.47402,178.49973
2038-02-24,206.45915,178.49962
2038-02-25,206.44427,178.49951
2038-02-26,206.42939,178.49982
2038-02-27,206.41451,178.49971
2038-02-28,206.39964,178.4996
2038-03-01,206.38476,178.49991
2038-03-02,206.35618,178.49192
2038-03-03,206.3276,178.48394
2038-03-04,206.29902,178.47596
2038-03-05,206.27043,178.46798
2038-03-06,206.24185,178.46
2038-03-07,206.21326,178.45203
2038-03-08,206.18466,178.44405
2038-03-09,206.15607,178.43607
2038-03-10,206.12747,178.4281
2038-03-11,206.09886,178.42013
2038-03-12,206.07026,178.41215
2038-03-13,206.04165,178.40418
2038-03-14,206.01304,178.39622
2038-03-15,205.98443,178.38825
2038-03-16,205.95581,178.38028
2038-03-17,205.92719,178.37232
2038-03-18,205.89858,178.36435
2038-03-19,205.86995,178.35639
2038-03-20,205.84133,178.34843
2038-03-21,205.8127,178.34047
2038-03-22,205.78407,178.33251
2038-03-23,205.75544,178.32456
2038-03-24,205.72681,178.3166
2038-03-25,205.69817,178.30864
2038-03-26,205.66953,178.30069
2038-03-27,205.64089,178.29274
2038-03-28,205.61224,178.28479
2038-03-29,205.58359,178.27684
2038-03-30,205.55494,178.26889
2038-03-31,205.52628,178.26095
2038-04-01,205.49763,178.253
2038-04-02,205.4637,178.23724
2038-04-03,205.42977,178.22149
2038-04-04,205.39585,178.20574
2038-04-05,205.36192,178.19
2038-04-06,205.328,178.17426
2038-04-07,205.29406,178.15852
2038-04-08,205.26014,178.14278
2038-04-09,205.2262,178.12705
2038-04-10,205.19228,178.11133
2038-04-11,205.15835,178.09561
2038-04-12,205.12442,178.07988
2038-04-13,205.0905,178.06417
2038-04-14,205.05656,178.04846
2038-04-15,205.02263,178.03275
2038-04-16,204.9887,178.01704
2038-04-17,204.95477,178.00134
2038-04-18,204.92084,177.98565
2038-04-19,204.8869,177.96995
2038-04-20,204.85298,177.95426
2038-04-21,204.81904,177.93857
2038-04-22,204.78511,177.92289
2038-04-23,204.75118,177.90721
2038-04-24,204.71724,177.89153
2038-04-25,204.68332,177.87586
2038-04-26,204.64938,177.86019
2038-04-27,204.61545,177.84453
2038-04-28,204.58152,177.82886
2038-04-29,204.54758,177.81321
2038-04-30,204.51366,177.79755
2038-05-01,204.47972,177.7819
2038-05-02,204.45463,177.77211
2038-05-03,204.42955,177.76233
2038-05-04,204.40446,177.75255
2038-05-05,204.37939,177.74277
2038-05-06,204.35432,177.73299
2038-05-07,204.32924,177.72322
2038-05-08,204.30417,177.71346
2038-05-09,204.27911,177.7037
2038-05-10,204.25405,177.69393
2038-05-11,204.22899,177.68417
2038-05-12,204.20393,177.67442
2038-05-13,204.17888,177.66467
2038-05-14,204.15383,177.65492
2038-05-15,204.12879,177.64518
2038-05-16,204.10376,177.63544
2038-05-17,204.07871,177.6257
2038-05-18,204.05368,177.61597
2038-05-19,204.02866,177.60624
2038-05-20,204.00363,177.59651
2038-05-21,203.9786,177.5868
2038-05-22,203.95359,177.57707
2038-05-23,203.92857,177.56736
2038-05-24,203.90356,177.55764
2038-05-25,203.87855,177.54794
2038-05-26,203.85355,177.53823
2038-05-27,203.82855,177.52853
2038-05-28,203.80355,177.51883
2038-05-29,203.77857,177.50913
2038-05-30,203.75357,177.49944
2038-05-31,203.72858,177.48975
2038-06-01,203.70361,177.48007
2038-06-02,203.73327,177.51013
2038-06-03,203.76293,177.54018
2038-06-04,203.79256,177.57019
2038-06-05,203.82216,177.60019
2038-06-06,203.85175,177.63016
2038-06-07,203.88131,177.66011
2038-06-08,203.91086,177.69004
2038-06-09,203.94039,177.71994
2038-06-10,203.96989,177.74982
2038-06-11,203.99937,177.77967
2038-06-12,204.02884,177.80951
2038-06-13,204.05828,177.83932
2038-06-14,204.08771,177.86911
2038-06-15,204.11712,177.89887
2038-06-16,204.1465,177.92862
2038-06-17,204.17586,177.95834
2038-06-18,204.20521,177.98804
2038-06-19,204.23453,178.01771
2038-06-20,204.26384,178.04737
2038-06-21,204.29312,178.077
2038-06-22,204.32238,178.10661
2038-06-23,204.35163,178.13619
2038-06-24,204.38085,178.16575
2038-06-25,204.41006,178.19529
2038-06-26,204.43925,178.22481
2038-06-27,204.46841,178.25431
2038-06-28,204.49756,178.28378
2038-06-29,204.52669,178.31323
2038-06-30,204.55579,178.34267
2038-07-01,204.58489,178.37207
2038-07-02,204.81234,178.49957
2038-07-03,205.03919,178.4994
2038-07-04,205.26543,178.49964
2038-07-05,205.49107,178.49946
2038-07-06,205.71611,178.49929
2038-07-07,205.94056,178.49953
2038-07-08,206.16442,178.49936
2038-07-09,206.3877,178.4996
2038-07-10,206.6104,178.49942
2038-07-11,206.83252,178.49925
2038-07-12,207.05407,178.49949
2038-07-13,207.27507,178.49932
2038-07-14,207.4955,178.49955
2038-07-15,207.71537,178.49938
2038-07-16,207.93469,178.49921
2038-07-17,208.07539,178.49945
2038-07-18,208.07533,178.49928
2038-07-19,208.07552,178.49951
2038-07-20,208.07546,178.49934
2038-07-21,208.0754,178.49958
2038-07-22,208.07534,178.49941
2038-07-23,208.07552,178.49924
2038-07-24,208.07547,178.49947
2038-07-25,208.07541,178.4993
2038-07-26,208.07535,178.49954
2038-07-27,208.07553,178.49937
2038-07-28,208.07548,178.4996
2038-07-29,208.07542,178.49943
2038-07-30,208.07536,178.49926
2038-07-31,208.07554,178.4995
2038-08-01,208.07549,178.49933
2038-08-02,208.07556,178.49949
2038-08-03,208.07563,178.49965
2038-08-04,208.0757,178.49982
2038-08-05,208.07553,178.49957
2038-08-06,208.07561,178.49973
2038-08-07,208.07568,178.49949
2038-08-08,208.07551,178.49965
2038-08-09,208.07558,178.49982
2038-08-10,208.07566,178.49957
2038-08-11,208.07549,178.49973
2038-08-12,208.07556,178.49949
2038-08-13,208.07563,178.49965
2038-08-14,208.0757,178.49982
2038-08-15,208.07553,178.49957
2038-08-16,208.07561,178.49973
2038-08-17,208.07568,178.49949
2038-08-18,208.07551,178.49965
2038-08-19,208.07558,178.49982
2038-08-20,208.07566,178.49957
2038-08-21,208.07549,178.49973
2038-08-22,208.07556,178.49949
2038-08-23,208.07563,178.49965
2038-08-24,208.0757,178.49982
2038-08-25,208.07553,178.49957
2038-08-26,208.07561,178.49973
2038-08-27,208.07568,178.49949
2038-08-28,208.07551,178.49965
2038-08-29,208.07558,178.49982
2038-08-30,208.07566,178.49957
2038-08-31,208.07549,178.49973
2038-09-01,208.07556,178.49949
2038-09-02,208.07533,178.49965
2038-09-03,208.07534,178.49982
2038-09-04,208.07534,178.49957
2038-09-05,208.07535,178.49973
2038-09-06,208.07536,178.4999
2038-09-07,208.07537,178.49965
2038-09-08,208.07538,178.49982
2038-09-09,208.07539,178.49957
2038-09-10,208.0754,178.49973
2038-09-11,208.07541,178.4999
2038-09-12,208.07542,178.49965
2038-09-13,208.07543,178.49982
2038-09-14,208.07544,178.49957
2038-09-15,208.07545,178.49973
2038-09-16,208.07546,178.4999
2038-09-17,208.07547,178.49965
2038-09-18,208.07548,178.49982
2038-09-19,208.07549,178.49957
2038-09-20,208.0755,178.49973
2038-09-21,208.07551,178.4999
2038-09-22,208.07552,178.49965
2038-09-23,208.07553,178.49982
2038-09-24,208.0753,178.49957
2038-09-25,208.07531,178.49973
2038-09-26,208.07532,178.4999
2038-09-27,208.07533,178.49965
2038-09-28,208.07534,178.49982
2038-09-29,208.07534,178.49957
2038-09-30,208.07535,178.49973
2038-10-01,208.07536,178.4999
2038-10-02,208.07557,178.49933
2038-10-03,208.07553,178.49959
2038-10-04,208.07549,178.49943
2038-10-05,208.07545,178.49969
2038-10-06,208.07541,178.49953
2038-10-07,208.07537,178.49937
2038-10-08,208.07558,178.49963
2038-10-09,208.07554,178.49947
2038-10-10,208.0755,178.49932
2038-10-11,208.07546,178.49957
2038-10-12,208.07542,178.49942
2038-10-13,208.07538,178.49967
2038-10-14,208.07559,178.49951
2038-10-15,208.07555,178.49936
2038-10-16,208.07551,178.49961
2038-10-17,208.07547,178.49946
2038-10-18,208.07543,178.4993
2038-10-19,208.07539,178.49955
2038-10-20,208.0756,178.4994
2038-10-21,208.07556,178.49965
2038-10-22,208.07552,178.4995
2038-10-23,208.07548,178.49934
2038-10-24,208.07544,178.4996
2038-10-25,208.0754,178.49944
2038-10-26,208.07536,178.49969
2038-10-27,208.07557,178.49954
2038-10-28,208.07553,178.49938
2038-10-29,208.07549,178.49964
2038-10-30,208.07545,178.49948
2038-10-31,208.07541,178.49933
2038-11-01,208.07537,178.49958
2038-11-02,208.07343,178.49957
2038-11-03,208.07149,178.49956
2038-11-04,208.06955,178.49955
2038-11-05,208.06761,178.49955
2038-11-06,208.06567,178.49954
2038-11-07,208.06373,178.49953
2038-11-08,208.06179,178.49952
2038-11-09,208.05985,178.49951
2038-11-10,208.05791,178.49951
2038-11-11,208.05598,178.4995
2038-11-12,208.05404,178.49949
2038-11-13,208.0521,178.49948
2038-11-14,208.05016,178.49947
2038-11-15,208.04823,178.49946
2038-11-16,208.04629,178.49946
2038-11-17,208.04435,178.49945
2038-11-18,208.04241,178.49944
2038-11-19,208.04047,178.49943
2038-11-20,208.03854,178.49942
2038-11-21,208.03661,178.49942
2038-11-22,208.03467,178.49941
2038-11-23,208.03274,178.4994
2038-11-24,208.03081,178.49939
2038-11-25,208.02887,178.49979
2038-11-26,208.02694,178.49978
2038-11-27,208.02501,178.49978
2038-11-28,208.02307,178.49977
2038-11-29,208.02114,178.49976
2038-11-30,208.01921,178.49975
2038-12-01,208.01727,178.49974
2038-12-02,207.98868,178.49994
2038-12-03,207.96007,178.49973
2038-12-04,207.93146,178.49992
2038-12-05,207.90285,178.49971
2038-12-06,207.87423,178.49991
2038-12-07,207.84561,178.49969
2038-12-08,207.81699,178.49989
2038-12-09,207.78836,178.49968
2038-12-10,207.75972,178.49987
2038-12-11,207.73109,178.49966
2038-12-12,207.70244,178.49986
2038-12-13,207.6738,178.49964
2038-12-14,207.64515,178.49984
2038-12-15,207.61649,178.49963
2038-12-16,207.58783,178.49982
2038-12-17,207.55916,178.49961
2038-12-18,207.53049,178.49981
2038-12-19,207.50183,178.4996
2038-12-20,207.47315,178.49979
2038-12-21,207.44447,178.49999
2038-12-22,207.41579,178.49978
2038-12-23,207.38709,178.49997
2038-12-24,207.3584,178.49976
2038-12-25,207.3297,178.49996
2038-12-26,207.301,178.49974
2038-12-27,207.2723,178.49994
2038-12-28,207.24358,178.49973
2038-12-29,207.21487,178.49992
2038-12-30,207.18615,178.49971
2038-12-31,207.15742,178.49991
