Date,Gibe-III,Koysha
2032-01-01,207.1521,178.49955
2032-01-02,207.13473,178.49956
2032-01-03,207.11736,178.49958
2032-01-04,207.09999,178.4996
2032-01-05,207.08261,178.49961
2032-01-06,207.06523,178.49963
2032-01-07,207.04786,178.49964
2032-01-08,207.03049,178.49966
2032-01-09,207.01311,178.49968
2032-01-10,206.99572,178.49969
2032-01-11,206.97834,178.49971
2032-01-12,206.96096,178.49973
2032-01-13,206.94358,178.49974
2032-01-14,206.92619,178.49976
2032-01-15,206.9088,178.49978
2032-01-16,206.89142,178.49979
2032-01-17,206.87403,178.49981
2032-01-18,206.85664,178.49982
2032-01-19,206.83925,178.49984
2032-01-20,206.82185,178.49986
2032-01-21,206.80446,178.49946
2032-01-22,206.78707,178.49948
2032-01-23,206.76967,178.4995
2032-01-24,206.75227,178.49951
2032-01-25,206.73487,178.49953
2032-01-26,206.71747,178.49955
2032-01-27,206.70007,178.49956
2032-01-28,206.68266,178.49958
2032-01-29,206.66525,178.4996
2032-01-30,206.64785,178.49961
2032-01-31,206.63044,178.49963
2032-02-01,206.61304,178.49964
2032-02-02,206.59045,178.49954
2032-02-03,206.56787,178.49943
2032-02-04,206.54529,178.49933
2032-02-05,206.52269,178.49963
2032-02-06,206.5001,178.49952
2032-02-07,206.47751,178.49942
2032-02-08,206.45492,178.49931
2032-02-09,206.43232,178.49961
2032-02-10,206.40972,178.49951
2032-02-11,206.38712,178.4994
2032-02-12,206.36451,178.49929
2032-02-13,206.3419,178.4996
2032-02-14,206.31929,178.49949
2032-02-15,206.29668,178.49938
2032-02-16,206.27406,178.49928
2032-02-17,206.25144,178.49958
2032-02-18,206.22882,178.49947
2032-02-19,206.2062,178.49937
2032-02-20,206.18357,178.49926
2032-02-21,206.16094,178.49956
2032-02-22,206.13831,178.49946
2032-02-23,206.11567,178.49935
2032-02-24,206.09302,178.49965
2032-02-25,206.07039,178.49955
2032-02-26,206.04775,178.49944
2032-02-27,206.0251,178.49933
2032-02-28,206.00246,178.49964
