Date,Gibe-III,Koysha
2029-01-01,177480368.0,0.0
2029-01-02,177464593.0,330733.0
2029-01-03,177448818.0,660848.0
2029-01-04,177433041.0,990346.0
2029-01-05,177417265.0,1221311.0
2029-01-06,177401488.0,1419868.0
2029-01-07,177385707.0,1618145.0
2029-01-08,177369926.0,1801255.0
2029-01-09,177354145.0,1968590.0
2029-01-10,177338364.0,2135766.0
2029-01-11,177322592.0,2299081.0
2029-01-12,177306820.0,2448792.0
2029-01-13,177291047.0,2598361.0
2029-01-14,177275269.0,2747860.0
2029-01-15,177259491.0,2886442.0
2029-01-16,177243722.0,3024112.0
2029-01-17,177227952.0,3161716.0
2029-01-18,177212183.0,3293722.0
2029-01-19,177196414.0,3422564.0
2029-01-20,177180645.0,3551314.0
2029-01-21,177164880.0,3677701.0
2029-01-22,177149115.0,3799592.0
2029-01-23,177133340.0,3921425.0
2029-01-24,177117565.0,4042966.0
2029-01-25,177101790.0,4159198.0
2029-01-26,177086015.0,4275347.0
2029-01-27,177070248.0,4391412.0
2029-01-28,177054482.0,4504168.0
2029-01-29,177038716.0,4615561.0
2029-01-30,177022950.0,4726874.0
2029-01-31,177007184.0,4836603.0
2029-02-01,176991416.0,4943912.0
2029-02-02,176969883.0,5039164.0
2029-02-03,176948354.0,5134364.0
2029-02-04,176926826.0,5227056.0
2029-02-05,176905297.0,5319144.0
2029-02-06,176883773.0,5411183.0
2029-02-07,176862244.0,5502998.0
2029-02-08,176840708.0,5592312.0
2029-02-09,176819171.0,5681553.0
2029-02-10,176797643.0,5770746.0
2029-02-11,176776115.0,5859188.0
2029-02-12,176754587.0,5945949.0
2029-02-13,176733059.0,6032664.0
2029-02-14,176711538.0,6119331.0
2029-02-15,176690010.0,6204845.0
2029-02-16,176668483.0,6289322.0
2029-02-17,176646956.0,6373754.0
2029-02-18,176625438.0,6458140.0
2029-02-19,176603915.0,6541063.0
2029-02-20,176582388.0,6623461.0
2029-02-21,176560860.0,6705813.0
2029-02-22,176539334.0,6788121.0
2029-02-23,176517807.0,6868729.0
2029-02-24,176496281.0,6949220.0
2029-02-25,176474759.0,7029666.0
2029-02-26,176453241.0,7109814.0
2029-02-27,176431724.0,7188589.0
2029-02-28,176410199.0,7267322.0
2029-03-01,176388678.0,7346032.0
2029-03-02,176344979.0,7409068.0
2029-03-03,176301289.0,7471100.0
2029-03-04,176257598.0,7533070.0
2029-03-05,176213910.0,7594976.0
2029-03-06,176170225.0,7656839.0
2029-03-07,176126541.0,7718148.0
2029-03-08,176082853.0,7778802.0
2029-03-09,176039175.0,7839415.0
2029-03-10,175995505.0,7899965.0
2029-03-11,175951828.0,7960453.0
2029-03-12,175908155.0,8020210.0
2029-03-13,175864491.0,8079590.0
2029-03-14,175820825.0,8138930.0
2029-03-15,175777162.0,8198208.0
2029-03-16,175733508.0,8257446.0
2029-03-17,175689857.0,8315781.0
2029-03-18,175646199.0,8373962.0
2029-03-19,175602546.0,8432104.0
2029-03-20,175558902.0,8490184.0
2029-03-21,175515250.0,8548145.0
2029-03-22,175471607.0,8605252.0
2029-03-23,175427973.0,8662320.0
2029-03-24,175384332.0,8719329.0
2029-03-25,175340694.0,8776298.0
2029-03-26,175297066.0,8832992.0
2029-03-27,175253440.0,8889046.0
2029-03-28,175209812.0,8945040.0
2029-03-29,175166194.0,9000995.0
2029-03-30,175122579.0,9056892.0
2029-03-31,175078952.0,9112431.0
2029-04-01,175035335.0,9167482.0
2029-04-02,174985467.0,9245368.0
2029-04-03,174935599.0,9323156.0
2029-04-04,174885747.0,9400255.0
2029-04-05,174835909.0,9476791.0
2029-04-06,174786065.0,9553231.0
2029-04-07,174736230.0,9629472.0
2029-04-08,174686412.0,9704739.0
2029-04-09,174636593.0,9779894.0
2029-04-10,174586792.0,9854954.0
2029-04-11,174537006.0,9929339.0
2029-04-12,174487204.0,10003282.0
2029-04-13,174437420.0,10077133.0
2029-04-14,174387649.0,10150759.0
2029-04-15,174337881.0,10223543.0
2029-04-16,174288132.0,10296235.0
2029-04-17,174238385.0,10368835.0
2029-04-18,174188638.0,10440811.0
2029-04-19,174138905.0,10512410.0
2029-04-20,174089182.0,10583900.0
2029-04-21,174039461.0,10655196.0
2029-04-22,173989753.0,10725726.0
2029-04-23,173940054.0,10796167.0
2029-04-24,173890363.0,10866518.0
2029-04-25,173840681.0,10936337.0
2029-04-26,173791002.0,11005769.0
2029-04-27,173741327.0,11075112.0
2029-04-28,173691670.0,11144333.0
2029-04-29,173642020.0,11212792.0
2029-04-30,173592380.0,11281163.0
2029-05-01,173542744.0,11349446.0
2029-05-02,173512972.0,11456615.0
2029-05-03,173483202.0,11563292.0
2029-05-04,173453442.0,11669414.0
2029-05-05,173423685.0,11774792.0
2029-05-06,173393938.0,11879862.0
2029-05-07,173364194.0,11983952.0
2029-05-08,173334448.0,12087906.0
2029-05-09,173304712.0,12190913.0
2029-05-10,173274984.0,12293655.0
2029-05-11,173245266.0,12395740.0
2029-05-12,173215545.0,12497310.0
2029-05-13,173185828.0,12598496.0
2029-05-14,173156120.0,12698897.0
2029-05-15,173126417.0,12799166.0
2029-05-16,173096728.0,12898475.0
2029-05-17,173067039.0,12997676.0
2029-05-18,173037346.0,13096195.0
2029-05-19,173007668.0,13194330.0
2029-05-20,172977998.0,13292044.0
2029-05-21,172948328.0,13389141.0
2029-05-22,172918663.0,13486068.0
2029-05-23,172889004.0,13582157.0
2029-05-24,172859345.0,13678118.0
2029-05-25,172829699.0,13773423.0
2029-05-26,172800063.0,13868436.0
2029-05-27,172770421.0,13963045.0
2029-05-28,172740786.0,14057104.0
2029-05-29,172711161.0,14150999.0
2029-05-30,172681540.0,14244144.0
2029-05-31,172651928.0,14337179.0
2029-06-01,172622318.0,14429625.0
2029-06-02,172694376.0,14653373.0
2029-06-03,172766388.0,14875310.0
2029-06-04,172838352.0,15095468.0
2029-06-05,172910267.0,15313912.0
2029-06-06,172982140.0,15530685.0
2029-06-07,173053964.0,15745832.0
2029-06-08,173125747.0,15959392.0
2029-06-09,173197480.0,16171420.0
2029-06-10,173269172.0,16381938.0
2029-06-11,173340814.0,16590997.0
2029-06-12,173412412.0,16798615.0
2029-06-13,173483962.0,17004840.0
2029-06-14,173555470.0,17209703.0
2029-06-15,173626930.0,17413234.0
2029-06-16,173698348.0,17615461.0
2029-06-17,173769721.0,17816412.0
2029-06-18,173841045.0,18016114.0
2029-06-19,173912323.0,18214605.0
2029-06-20,173983557.0,18411896.0
2029-06-21,174054744.0,18608011.0
2029-06-22,174125889.0,18802986.0
2029-06-23,174196982.0,18996844.0
2029-06-24,174268037.0,19189590.0
2029-06-25,174339039.0,19381260.0
2029-06-26,174410005.0,19571873.0
2029-06-27,174480917.0,19761434.0
2029-06-28,174551798.0,19949988.0
2029-06-29,174622615.0,20137527.0
2029-06-30,174693403.0,20324094.0
2029-07-01,174764134.0,20509679.0
2029-07-02,175192638.0,21107873.0
2029-07-03,175620501.0,21697777.0
2029-07-04,176047726.0,22279904.0
2029-07-05,176474317.0,22854656.0
2029-07-06,176900285.0,23422242.0
2029-07-07,177325623.0,23983082.0
2029-07-08,177479932.0,25274452.0
2029-07-09,177479697.0,26941529.0
2029-07-10,177480222.0,28558424.0
2029-07-11,177480168.0,30133765.0
2029-07-12,177479981.0,31670587.0
2029-07-13,177480101.0,33171375.0
2029-07-14,177480084.0,34640220.0
2029-07-15,177479923.0,36079703.0
2029-07-16,177479621.0,37492041.0
2029-07-17,177480061.0,38877212.0
2029-07-18,177479910.0,40239924.0
2029-07-19,177480057.0,41579728.0
2029-07-20,177480052.0,42898963.0
2029-07-21,177479897.0,44198822.0
2029-07-22,177479590.0,45480411.0
2029-07-23,177480021.0,46742884.0
2029-07-24,177479857.0,47989889.0
2029-07-25,177479977.0,49220451.0
2029-07-26,177479946.0,50436199.0
2029-07-27,177479759.0,51637826.0
2029-07-28,177479861.0,52825100.0
2029-07-29,177480253.0,53998629.0
2029-07-30,177480044.0,55160659.0
2029-07-31,177480124.0,56309991.0
2029-08-01,177480048.0,57447945.0
2029-08-02,177479688.0,59383071.0
2029-08-03,177479901.0,61286670.0
2029-08-04,177479808.0,63162159.0
2029-08-05,177479857.0,65010351.0
2029-08-06,177480052.0,66832712.0
2029-08-07,177479955.0,68631341.0
2029-08-08,177480026.0,70406675.0
2029-08-09,177480270.0,72159822.0
2029-08-10,177479817.0,73893269.0
2029-08-11,177480008.0,75605740.0
2029-08-12,177479968.0,77299554.0
2029-08-13,177480155.0,78974785.0
2029-08-14,177480141.0,80632878.0
2029-08-15,177479946.0,82274516.0
2029-08-16,177480030.0,83899628.0
2029-08-17,177479968.0,85509506.0
2029-08-18,177480222.0,87104024.0
2029-08-19,177479923.0,88685062.0
2029-08-20,177479981.0,90251751.0
2029-08-21,177479968.0,91805216.0
2029-08-22,177479906.0,93345895.0
2029-08-23,177479821.0,94874194.0
2029-08-24,177480177.0,96389845.0
2029-08-25,177480101.0,97894500.0
2029-08-26,177480061.0,99387863.0
2029-08-27,177480079.0,100870252.0
2029-08-28,177480173.0,102341981.0
2029-08-29,177480368.0,103803339.0
2029-08-30,177479790.0,105255851.0
2029-08-31,177479790.0,106697914.0
2029-09-01,177479946.0,108130400.0
2029-09-02,177479728.0,108963642.0
2029-09-03,177480079.0,109793037.0
2029-09-04,177480119.0,110619834.0
2029-09-05,177480297.0,111443480.0
2029-09-06,177479728.0,112265215.0
2029-09-07,177479750.0,113083271.0
2029-09-08,177479923.0,113898299.0
2029-09-09,177479812.0,114710936.0
2029-09-10,177479866.0,115520624.0
2029-09-11,177480088.0,116327401.0
2029-09-12,177479590.0,117132482.0
2029-09-13,177479714.0,117934137.0
2029-09-14,177480026.0,118732986.0
2029-09-15,177480057.0,118999212.0
2029-09-16,177480119.0,118999446.0
2029-09-17,177480182.0,118999095.0
2029-09-18,177480244.0,118999329.0
2029-09-19,177479861.0,118999562.0
2029-09-20,177479923.0,118999212.0
2029-09-21,177479986.0,118999446.0
2029-09-22,177480048.0,118999095.0
2029-09-23,177480110.0,118999329.0
2029-09-24,177480173.0,118999562.0
2029-09-25,177480235.0,118999212.0
2029-09-26,177479852.0,118999446.0
2029-09-27,177479915.0,118999095.0
2029-09-28,177479977.0,118999329.0
2029-09-29,177480039.0,118999562.0
2029-09-30,177480101.0,118999212.0
2029-10-01,177480164.0,118999446.0
2029-10-02,177479990.0,118999224.0
2029-10-03,177480257.0,118999586.0
2029-10-04,177480088.0,118999364.0
2029-10-05,177479910.0,118999726.0
2029-10-06,177480182.0,118999504.0
2029-10-07,177480008.0,118999282.0
2029-10-08,177480275.0,118999644.0
2029-10-09,177480101.0,118999422.0
2029-10-10,177479928.0,118999784.0
2029-10-11,177480199.0,118999562.0
2029-10-12,177480026.0,118999340.0
2029-10-13,177480293.0,118999703.0
2029-10-14,177480119.0,118999481.0
2029-10-15,177479946.0,118999259.0
2029-10-16,177480213.0,118999621.0
2029-10-17,177480039.0,118999399.0
2029-10-18,177479861.0,118999761.0
2029-10-19,177480132.0,118999539.0
2029-10-20,177479959.0,118999317.0
2029-10-21,177480226.0,118999679.0
2029-10-22,177480052.0,118999457.0
2029-10-23,177479879.0,118999235.0
2029-10-24,177480146.0,118999598.0
2029-10-25,177479977.0,118999376.0
2029-10-26,177480244.0,118999738.0
2029-10-27,177480070.0,118999516.0
2029-10-28,177479897.0,118999294.0
2029-10-29,177480164.0,118999656.0
2029-10-30,177479990.0,118999434.0
2029-10-31,177480262.0,118999212.0
2029-11-01,177480084.0,118999574.0
2029-11-02,177479941.0,118999562.0
2029-11-03,177479799.0,118999551.0
2029-11-04,177479656.0,118999539.0
2029-11-05,177479959.0,118999527.0
2029-11-06,177479817.0,118999516.0
2029-11-07,177479674.0,118999504.0
2029-11-08,177479532.0,118999492.0
2029-11-09,177479834.0,118999481.0
2029-11-10,177479692.0,118999469.0
2029-11-11,177479550.0,118999457.0
2029-11-12,177479852.0,118999446.0
2029-11-13,177479710.0,118999434.0
2029-11-14,177479568.0,118999422.0
2029-11-15,177479870.0,118999410.0
2029-11-16,177479728.0,118999399.0
2029-11-17,177479585.0,118999387.0
2029-11-18,177479888.0,118999376.0
2029-11-19,177479746.0,118999364.0
2029-11-20,177479603.0,118999352.0
2029-11-21,177479906.0,118999340.0
2029-11-22,177479763.0,118999329.0
2029-11-23,177479621.0,118999317.0
2029-11-24,177479923.0,118999305.0
2029-11-25,177479781.0,118999294.0
2029-11-26,177479639.0,118999282.0
2029-11-27,177479941.0,118999270.0
2029-11-28,177479799.0,118999259.0
2029-11-29,177479656.0,118999247.0
2029-11-30,177479959.0,118999235.0
2029-12-01,177479817.0,118999224.0
2029-12-02,177458436.0,118999504.0
2029-12-03,177437060.0,118999784.0
2029-12-04,177415680.0,118999481.0
2029-12-05,177394301.0,118999761.0
2029-12-06,177372926.0,118999457.0
2029-12-07,177351555.0,118999738.0
2029-12-08,177330185.0,118999434.0
2029-12-09,177308818.0,118999714.0
2029-12-10,177287454.0,118999410.0
2029-12-11,177266084.0,118999691.0
2029-12-12,177244723.0,118999387.0
2029-12-13,177223362.0,118999668.0
2029-12-14,177202002.0,118999364.0
2029-12-15,177180650.0,118999644.0
2029-12-16,177159298.0,118999340.0
2029-12-17,177137945.0,118999621.0
2029-12-18,177116594.0,118999317.0
2029-12-19,177095243.0,118999598.0
2029-12-20,177073896.0,118999294.0
2029-12-21,177052554.0,118999574.0
2029-12-22,177031211.0,118999270.0
2029-12-23,177009874.0,118999551.0
2029-12-24,176988533.0,118999247.0
2029-12-25,176967192.0,118999527.0
2029-12-26,176945859.0,118999808.0
2029-12-27,176924527.0,118999504.0
2029-12-28,176903194.0,118999784.0
2029-12-29,176881870.0,118999481.0
2029-12-30,176860546.0,118999761.0
2029-12-31,176839214.0,118999457.0
2030-01-01,176817892.0,118999738.0
2030-01-02,176773855.0,118999761.0
2030-01-03,176729828.0,118999784.0
2030-01-04,176685797.0,118999808.0
2030-01-05,176641762.0,118999831.0
2030-01-06,176597735.0,118999855.0
2030-01-07,176553710.0,118999294.0
2030-01-08,176509685.0,118999317.0
2030-01-09,176465664.0,118999340.0
2030-01-10,176421649.0,118999364.0
2030-01-11,176377629.0,118999387.0
2030-01-12,176333614.0,118999410.0
