Date,Gibe-III,Koysha
2035-01-01,176817602.0,118999814.0
2035-01-02,176773565.0,118999837.0
2035-01-03,176729538.0,118999276.0
2035-01-04,176685507.0,118999300.0
2035-01-05,176641472.0,118999323.0
2035-01-06,176597445.0,118999346.0
2035-01-07,176553420.0,118999370.0
2035-01-08,176509395.0,118999393.0
2035-01-09,176465374.0,118999416.0
2035-01-10,176421359.0,118999440.0
2035-01-11,176377339.0,118999463.0
2035-01-12,176333324.0,118999486.0
2035-01-13,176289321.0,118999510.0
2035-01-14,176245309.0,118999533.0
2035-01-15,176201308.0,118999557.0
2035-01-16,176157316.0,118999580.0
2035-01-17,176113322.0,118999603.0
2035-01-18,176069336.0,118999627.0
2035-01-19,176025358.0,118999650.0
2035-01-20,175981384.0,118999674.0
2035-01-21,175937412.0,118999697.0
2035-01-22,175893453.0,118999720.0
2035-01-23,175849503.0,118999744.0
2035-01-24,175805549.0,118999767.0
2035-01-25,175761614.0,118999790.0
2035-01-26,175717682.0,118999814.0
2035-01-27,175673757.0,118999837.0
2035-01-28,175629836.0,118999860.0
2035-01-29,175585937.0,118999884.0
2035-01-30,175542040.0,118999907.0
2035-01-31,175498151.0,118999930.0
2035-02-01,175454271.0,118999954.0
2035-02-02,175411003.0,118999218.0
2035-02-03,175367732.0,118999650.0
2035-02-04,175324475.0,118999498.0
2035-02-05,175281231.0,118999346.0
2035-02-06,175237988.0,118999194.0
2035-02-07,175194751.0,118999627.0
2035-02-08,175151526.0,118999475.0
2035-02-09,175108317.0,118999323.0
2035-02-10,175065107.0,118999755.0
2035-02-11,175021915.0,118999603.0
2035-02-12,174978732.0,118999451.0
2035-02-13,174935550.0,118999300.0
2035-02-14,174892382.0,118999732.0
2035-02-15,174849231.0,118999580.0
2035-02-16,174806078.0,118999428.0
2035-02-17,174762942.0,118999276.0
2035-02-18,174719816.0,118999708.0
2035-02-19,174676706.0,118999557.0
2035-02-20,174633594.0,118999405.0
2035-02-21,174590504.0,118999837.0
2035-02-22,174547427.0,118999685.0
2035-02-23,174504353.0,118999533.0
2035-02-24,174461301.0,118999381.0
2035-02-25,174418261.0,118999814.0
2035-02-26,174375231.0,118999662.0
2035-02-27,174332210.0,118999510.0
2035-02-28,174289208.0,118999358.0
2035-03-01,174246221.0,118999790.0
2035-03-02,174193238.0,118988385.0
2035-03-03,174140269.0,118976980.0
2035-03-04,174087310.0,118965575.0
2035-03-05,174034351.0,118954170.0
2035-03-06,173981411.0,118942777.0
2035-03-07,173928475.0,118931383.0
2035-03-08,173875545.0,118919990.0
2035-03-09,173822629.0,118908593.0
2035-03-10,173769717.0,118897202.0
2035-03-11,173716816.0,118885817.0
2035-03-12,173663930.0,118874432.0
2035-03-13,173611044.0,118863046.0
2035-03-14,173558176.0,118851667.0
2035-03-15,173505314.0,118840293.0
2035-03-16,173452457.0,118828917.0
2035-03-17,173399618.0,118817540.0
2035-03-18,173346784.0,118806168.0
2035-03-19,173293960.0,118794803.0
2035-03-20,173241154.0,118783437.0
2035-03-21,173188348.0,118772072.0
2035-03-22,173135558.0,118760712.0
2035-03-23,173082783.0,118749356.0
2035-03-24,173030008.0,118737998.0
2035-03-25,172977255.0,118726641.0
2035-03-26,172924509.0,118715289.0
2035-03-27,172871767.0,118703944.0
2035-03-28,172819043.0,118692598.0
2035-03-29,172766330.0,118681252.0
2035-03-30,172713625.0,118669910.0
2035-03-31,172660939.0,118658573.0
2035-04-01,172608259.0,118647235.0
2035-04-02,172554515.0,118624758.0
2035-04-03,172500788.0,118602288.0
2035-04-04,172447059.0,118579824.0
2035-04-05,172393348.0,118557364.0
2035-04-06,172339648.0,118534915.0
2035-04-07,172285952.0,118512478.0
2035-04-08,172232269.0,118490040.0
2035-04-09,172178587.0,118467614.0
2035-04-10,172124915.0,118445193.0
2035-04-11,172071261.0,118422782.0
2035-04-12,172017605.0,118400377.0
2035-04-13,171963971.0,118377979.0
2035-04-14,171910355.0,118355592.0
2035-04-15,171856739.0,118333205.0
2035-04-16,171803142.0,118310829.0
2035-04-17,171749553.0,118288464.0
2035-04-18,171695970.0,118266104.0
2035-04-19,171642406.0,118243750.0
2035-04-20,171588844.0,118221402.0
2035-04-21,171535295.0,118199065.0
2035-04-22,171481763.0,118176736.0
2035-04-23,171428220.0,118154410.0
2035-04-24,171374694.0,118132096.0
2035-04-25,171321186.0,118109787.0
2035-04-26,171267684.0,118087484.0
2035-04-27,171214200.0,118065191.0
2035-04-28,171160724.0,118042905.0
