Date,Gibe-III,Koysha
2029-01-01,177480368.0,0.0
2029-01-02,177464754.0,330733.0
2029-01-03,177449139.0,660848.0
2029-01-04,177433522.0,990346.0
2029-01-05,177417906.0,1221311.0
2029-01-06,177402294.0,1419868.0
2029-01-07,177386682.0,1618145.0
2029-01-08,177371070.0,1801255.0
2029-01-09,177355458.0,1968590.0
2029-01-10,177339837.0,2135766.0
2029-01-11,177324226.0,2299081.0
2029-01-12,177308614.0,2448792.0
2029-01-13,177293001.0,2598361.0
2029-01-14,177277384.0,2747860.0
2029-01-15,177261766.0,2886442.0
2029-01-16,177246152.0,3024112.0
2029-01-17,177230544.0,3161716.0
2029-01-18,177214935.0,3293722.0
2029-01-19,177199326.0,3422564.0
2029-01-20,177183717.0,3551314.0
2029-01-21,177168108.0,3677701.0
2029-01-22,177152508.0,3799592.0
2029-01-23,177136903.0,3921425.0
2029-01-24,177121297.0,4042966.0
2029-01-25,177105691.0,4159198.0
2029-01-26,177090085.0,4275347.0
2029-01-27,177074479.0,4391412.0
2029-01-28,177058874.0,4504168.0
2029-01-29,177043268.0,4615561.0
2029-01-30,177027662.0,4726874.0
2029-01-31,177012056.0,4836603.0
2029-02-01,176996446.0,4943912.0
2029-02-02,176975056.0,5039164.0
2029-02-03,176953670.0,5134364.0
2029-02-04,176932284.0,5227056.0
2029-02-05,176910898.0,5319144.0
2029-02-06,176889516.0,5411183.0
2029-02-07,176868139.0,5502998.0
2029-02-08,176846756.0,5592312.0
2029-02-09,176825371.0,5681553.0
2029-02-10,176803990.0,5770746.0
2029-02-11,176782613.0,5859188.0
2029-02-12,176761232.0,5945949.0
2029-02-13,176739847.0,6032664.0
2029-02-14,176718466.0,6119331.0
2029-02-15,176697082.0,6204845.0
2029-02-16,176675698.0,6289322.0
2029-02-17,176654313.0,6373754.0
2029-02-18,176632938.0,6458140.0
2029-02-19,176611562.0,6541063.0
2029-02-20,176590186.0,6623461.0
2029-02-21,176568809.0,6705813.0
2029-02-22,176547434.0,6788121.0
2029-02-23,176526059.0,6868729.0
2029-02-24,176504684.0,6949220.0
2029-02-25,176483301.0,7029666.0
2029-02-26,176461926.0,7109814.0
2029-02-27,176440551.0,7188589.0
2029-02-28,176419172.0,7267322.0
2029-03-01,176397790.0,7346032.0
2029-03-02,176354225.0,7409068.0
2029-03-03,176310669.0,7471100.0
2029-03-04,176267115.0,7533070.0
2029-03-05,176223561.0,7594976.0
2029-03-06,176180015.0,7656839.0
2029-03-07,176136464.0,7718148.0
2029-03-08,176092906.0,7778802.0
2029-03-09,176049356.0,7839415.0
2029-03-10,176005816.0,7899965.0
2029-03-11,175962273.0,7960453.0
2029-03-12,175918734.0,8020210.0
2029-03-13,175875204.0,8079590.0
2029-03-14,175831676.0,8138930.0
2029-03-15,175788147.0,8198208.0
2029-03-16,175744627.0,8257446.0
2029-03-17,175701114.0,8315781.0
2029-03-18,175657586.0,8373962.0
2029-03-19,175614063.0,8432104.0
2029-03-20,175570549.0,8490184.0
2029-03-21,175527030.0,8548145.0
2029-03-22,175483517.0,8605252.0
2029-03-23,175440013.0,8662320.0
2029-03-24,175396510.0,8719329.0
2029-03-25,175353007.0,8776298.0
2029-03-26,175309513.0,8832992.0
2029-03-27,175266026.0,8889046.0
2029-03-28,175222533.0,8945040.0
2029-03-29,175179040.0,9000995.0
2029-03-30,175135551.0,9056892.0
2029-03-31,175092059.0,9112431.0
2029-04-01,175048571.0,9167482.0
2029-04-02,174998837.0,9245368.0
2029-04-03,174949109.0,9323156.0
2029-04-04,174899387.0,9400255.0
2029-04-05,174849670.0,9476791.0
2029-04-06,174799957.0,9553231.0
2029-04-07,174750256.0,9629472.0
2029-04-08,174700573.0,9704739.0
2029-04-09,174650889.0,9779894.0
2029-04-10,174601214.0,9854954.0
2029-04-11,174551547.0,9929339.0
2029-04-12,174501882.0,10003282.0
2029-04-13,174452233.0,10077133.0
2029-04-14,174402592.0,10150759.0
2029-04-15,174352951.0,10223543.0
2029-04-16,174303322.0,10296235.0
2029-04-17,174253707.0,10368835.0
2029-04-18,174204091.0,10440811.0
2029-04-19,174154483.0,10512410.0
2029-04-20,174104892.0,10583900.0
2029-04-21,174055301.0,10655196.0
2029-04-22,174005724.0,10725726.0
2029-04-23,173956152.0,10796167.0
2029-04-24,173906578.0,10866518.0
2029-04-25,173857022.0,10936337.0
2029-04-26,173807479.0,11005769.0
2029-04-27,173757939.0,11075112.0
2029-04-28,173708399.0,11144333.0
2029-04-29,173658873.0,11212792.0
2029-04-30,173609349.0,11281163.0
2029-05-01,173559844.0,11349446.0
2029-05-02,173530221.0,11456615.0
2029-05-03,173500596.0,11563292.0
2029-05-04,173470975.0,11669414.0
2029-05-05,173441363.0,11774792.0
2029-05-06,173411755.0,11879862.0
2029-05-07,173382156.0,11983952.0
2029-05-08,173352556.0,12087906.0
2029-05-09,173322963.0,12190913.0
2029-05-10,173293375.0,12293655.0
2029-05-11,173263796.0,12395740.0
2029-05-12,173234217.0,12497310.0
2029-05-13,173204640.0,12598496.0
2029-05-14,173175072.0,12698897.0
2029-05-15,173145508.0,12799166.0
2029-05-16,173115954.0,12898475.0
2029-05-17,173086403.0,12997676.0
2029-05-18,173056850.0,13096195.0
2029-05-19,173027306.0,13194330.0
2029-05-20,172997772.0,13292044.0
2029-05-21,172968242.0,13389141.0
2029-05-22,172938719.0,13486068.0
2029-05-23,172909186.0,13582157.0
2029-05-24,172879667.0,13678118.0
2029-05-25,172850152.0,13773423.0
2029-05-26,172820646.0,13868436.0
2029-05-27,172791147.0,13963045.0
2029-05-28,172761644.0,14057104.0
2029-05-29,172732149.0,14150999.0
2029-05-30,172702663.0,14244144.0
2029-05-31,172673177.0,14337179.0
2029-06-01,172643702.0,14429625.0
2029-06-02,172715919.0,14653373.0
2029-06-03,172788102.0,14875310.0
2029-06-04,172860223.0,15095468.0
2029-06-05,172932310.0,15313912.0
2029-06-06,173004341.0,15530685.0
2029-06-07,173076331.0,15745832.0
2029-06-08,173148267.0,15959392.0
2029-06-09,173220162.0,16171420.0
2029-06-10,173292003.0,16381938.0
2029-06-11,173363802.0,16590997.0
2029-06-12,173435548.0,16798615.0
2029-06-13,173507256.0,17004840.0
2029-06-14,173578908.0,17209703.0
2029-06-15,173650525.0,17413234.0
2029-06-16,173722082.0,17615461.0
2029-06-17,173793599.0,17816412.0
2029-06-18,173865062.0,18016114.0
2029-06-19,173936488.0,18214605.0
2029-06-20,174007861.0,18411896.0
2029-06-21,174079188.0,18608011.0
2029-06-22,174150466.0,18802986.0
2029-06-23,174221698.0,18996844.0
2029-06-24,174292887.0,19189590.0
2029-06-25,174364024.0,19381260.0
2029-06-26,174435119.0,19571873.0
2029-06-27,174506161.0,19761434.0
2029-06-28,174577158.0,19949988.0
2029-06-29,174648109.0,20137527.0
2029-06-30,174719018.0,20324094.0
2029-07-01,174789874.0,20509679.0
2029-07-02,175218527.0,21107873.0
2029-07-03,175646534.0,21697777.0
2029-07-04,176073900.0,22279904.0
2029-07-05,176500621.0,22854656.0
2029-07-06,176926705.0,23422242.0
2029-07-07,177352156.0,23983082.0
2029-07-08,177479897.0,25346548.0
2029-07-09,177479768.0,27011493.0
2029-07-10,177479923.0,28627625.0
2029-07-11,177479910.0,30201228.0
2029-07-12,177480168.0,31735390.0
2029-07-13,177479803.0,33235818.0
2029-07-14,177479697.0,34703320.0
2029-07-15,177479843.0,36140556.0
2029-07-16,177480235.0,37549766.0
2029-07-17,177479977.0,38934907.0
2029-07-18,177479959.0,40295687.0
2029-07-19,177479719.0,41634615.0
2029-07-20,177480150.0,42951137.0
2029-07-21,177479906.0,44249328.0
2029-07-22,177479870.0,45528381.0
2029-07-23,177479594.0,46790228.0
2029-07-24,177479959.0,48033963.0
2029-07-25,177480066.0,49262220.0
2029-07-26,177479910.0,50475738.0
2029-07-27,177479932.0,51674324.0
2029-07-28,177480128.0,52858640.0
2029-07-29,177480039.0,54030126.0
2029-07-30,177480110.0,55188488.0
2029-07-31,177479892.0,56335061.0
2029-08-01,177479817.0,57469489.0
2029-08-02,177479861.0,59399430.0
2029-08-03,177480150.0,61298011.0
2029-08-04,177479777.0,63168623.0
2029-08-05,177480048.0,65010529.0
2029-08-06,177480057.0,66826773.0
2029-08-07,177480239.0,68617922.0
2029-08-08,177480124.0,70385950.0
2029-08-09,177479701.0,72131968.0
2029-08-10,177479848.0,73855510.0
2029-08-11,177479661.0,75559009.0
2029-08-12,177480026.0,77241889.0
2029-08-13,177480039.0,78906400.0
2029-08-14,177480141.0,80552568.0
2029-08-15,177479888.0,82181796.0
2029-08-16,177480168.0,83793342.0
2029-08-17,177480097.0,85389202.0
2029-08-18,177479679.0,86969933.0
2029-08-19,177479803.0,88534715.0
2029-08-20,177480048.0,90084728.0
2029-08-21,177479972.0,91621112.0
2029-08-22,177480039.0,93143644.0
2029-08-23,177480266.0,94652749.0
2029-08-24,177479790.0,96150112.0
2029-08-25,177479959.0,97634177.0
2029-08-26,177479919.0,99106574.0
2029-08-27,177480141.0,100567002.0
2029-08-28,177479768.0,102017041.0
2029-08-29,177480168.0,103455103.0
2029-08-30,177480044.0,104883361.0
2029-08-31,177479874.0,106301442.0
2029-09-01,177480150.0,107709006.0
2029-09-02,177479732.0,108512198.0
2029-09-03,177479959.0,109311137.0
2029-09-04,177479959.0,110107083.0
2029-09-05,177479750.0,110900084.0
2029-09-06,177479794.0,111689574.0
2029-09-07,177480106.0,112475598.0
2029-09-08,177480262.0,113258807.0
2029-09-09,177479834.0,114039825.0
2029-09-10,177479732.0,114817504.0
2029-09-11,177479972.0,115591877.0
2029-09-12,177479688.0,116364168.0
2029-09-13,177479781.0,117133229.0
2029-09-14,177479826.0,117899679.0
2029-09-15,177479848.0,118663557.0
2029-09-16,177479866.0,118999393.0
2029-09-17,177479883.0,118999627.0
2029-09-18,177479901.0,118999276.0
2029-09-19,177479919.0,118999510.0
2029-09-20,177479937.0,118999744.0
2029-09-21,177479955.0,118999393.0
2029-09-22,177479972.0,118999627.0
2029-09-23,177479990.0,118999276.0
2029-09-24,177479563.0,118999510.0
2029-09-25,177479581.0,118999744.0
2029-09-26,177479599.0,118999393.0
2029-09-27,177479616.0,118999627.0
2029-09-28,177479634.0,118999276.0
2029-09-29,177479652.0,118999510.0
2029-09-30,177479670.0,118999744.0
2029-10-01,177479688.0,118999393.0
2029-10-02,177480061.0,118999171.0
2029-10-03,177479990.0,118999533.0
2029-10-04,177479919.0,118999311.0
2029-10-05,177479848.0,118999089.0
2029-10-06,177479777.0,118999451.0
2029-10-07,177479706.0,118999229.0
2029-10-08,177480079.0,118999007.0
2029-10-09,177480008.0,118999370.0
2029-10-10,177479937.0,118999148.0
2029-10-11,177479866.0,118999510.0
2029-10-12,177479794.0,118999288.0
2029-10-13,177479723.0,118999066.0
2029-10-14,177480097.0,118999428.0
2029-10-15,177480026.0,118999206.0
2029-10-16,177479955.0,118998984.0
2029-10-17,177479883.0,118999346.0
2029-10-18,177479812.0,118999124.0
2029-10-19,177479741.0,118999486.0
2029-10-20,177480115.0,118999264.0
2029-10-21,177480044.0,118999042.0
2029-10-22,177479972.0,118999405.0
2029-10-23,177479901.0,118999183.0
2029-10-24,177479830.0,118999545.0
2029-10-25,177479759.0,118999323.0
2029-10-26,177480132.0,118999101.0
2029-10-27,177480061.0,118999463.0
2029-10-28,177479990.0,118999241.0
2029-10-29,177479919.0,118999019.0
2029-10-30,177479848.0,118999381.0
2029-10-31,177479777.0,118999159.0
2029-11-01,177479706.0,118999522.0
2029-11-02,177476155.0,118999510.0
2029-11-03,177472605.0,118999498.0
2029-11-04,177469055.0,118999486.0
2029-11-05,177465505.0,118999475.0
2029-11-06,177461955.0,118999463.0
2029-11-07,177458405.0,118999451.0
2029-11-08,177454855.0,118999440.0
2029-11-09,177451314.0,118999428.0
2029-11-10,177447773.0,118999416.0
2029-11-11,177444232.0,118999405.0
2029-11-12,177440691.0,118999393.0
2029-11-13,177437149.0,118999381.0
2029-11-14,177433606.0,118999370.0
2029-11-15,177430064.0,118999358.0
2029-11-16,177426521.0,118999346.0
2029-11-17,177422979.0,118999335.0
2029-11-18,177419436.0,118999323.0
2029-11-19,177415894.0,118999311.0
2029-11-20,177412356.0,118999300.0
2029-11-21,177408822.0,118999288.0
2029-11-22,177405289.0,118999276.0
2029-11-23,177401755.0,118999264.0
2029-11-24,177398222.0,118999253.0
2029-11-25,177394688.0,118999241.0
2029-11-26,177391154.0,118999229.0
2029-11-27,177387621.0,118999218.0
2029-11-28,177384087.0,118999206.0
2029-11-29,177380554.0,118999194.0
2029-11-30,177377020.0,118999183.0
2029-12-01,177373486.0,118999171.0
2029-12-02,177321213.0,118999451.0
2029-12-03,177268938.0,118999732.0
2029-12-04,177216662.0,118999428.0
2029-12-05,177164391.0,118999708.0
2029-12-06,177112114.0,118999405.0
2029-12-07,177059840.0,118999685.0
2029-12-08,177007571.0,118999966.0
2029-12-09,176955291.0,118999662.0
2029-12-10,176903020.0,118999942.0
2029-12-11,176850754.0,118999638.0
2029-12-12,176798476.0,118999919.0
2029-12-13,176746208.0,118999615.0
2029-12-14,176693939.0,118999896.0
2029-12-15,176641663.0,118999592.0
2029-12-16,176589397.0,118999872.0
2029-12-17,176537126.0,118999568.0
2029-12-18,176484857.0,118999849.0
2029-12-19,176432598.0,118999545.0
2029-12-20,176380324.0,118999825.0
2029-12-21,176328058.0,118999522.0
2029-12-22,176275798.0,118999802.0
2029-12-23,176223525.0,118999498.0
2029-12-24,176171261.0,118999779.0
2029-12-25,176118998.0,118999475.0
2029-12-26,176066732.0,118999755.0
2029-12-27,176014471.0,118999451.0
2029-12-28,175962206.0,118999732.0
2029-12-29,175909942.0,118999428.0
2029-12-30,175857683.0,118999708.0
2029-12-31,175805415.0,118999405.0
2030-01-01,175753154.0,118999685.0
2030-01-02,175733919.0,118999708.0
2030-01-03,175714684.0,118999148.0
2030-01-04,175695454.0,118999171.0
2030-01-05,175676221.0,118999194.0
2030-01-06,175656987.0,118999218.0
2030-01-07,175637754.0,118999241.0
2030-01-08,175618525.0,118999264.0
2030-01-09,175599300.0,118999288.0
2030-01-10,175580076.0,118999311.0
2030-01-11,175560851.0,118999335.0
2030-01-12,175541620.0,118999358.0
2030-01-13,175522397.0,118999381.0
2030-01-14,175503174.0,118999405.0
2030-01-15,175483951.0,118999428.0
2030-01-16,175464728.0,118999451.0
2030-01-17,175445510.0,118999475.0
2030-01-18,175426296.0,118999498.0
2030-01-19,175407079.0,118999522.0
2030-01-20,175387857.0,118999545.0
2030-01-21,175368640.0,118999568.0
2030-01-22,175349428.0,118999592.0
2030-01-23,175330215.0,118999615.0
2030-01-24,175311003.0,118999638.0
2030-01-25,175291790.0,118999662.0
2030-01-26,175272587.0,118999685.0
2030-01-27,175253377.0,118999708.0
2030-01-28,175234166.0,118999148.0
2030-01-29,175214955.0,118999171.0
2030-01-30,175195749.0,118999194.0
2030-01-31,175176547.0,118999218.0
2030-02-01,175157345.0,118999241.0
2030-02-02,175130368.0,118999674.0
2030-02-03,175103387.0,118999522.0
2030-02-04,175076405.0,118999370.0
2030-02-05,175049426.0,118999802.0
2030-02-06,175022453.0,118999650.0
2030-02-07,174995479.0,118999498.0
2030-02-08,174968505.0,118999346.0
2030-02-09,174941530.0,118999779.0
2030-02-10,174914555.0,118999627.0
2030-02-11,174887584.0,118999475.0
2030-02-12,174860618.0,118999323.0
2030-02-13,174833651.0,118999755.0
2030-02-14,174806674.0,118999603.0
2030-02-15,174779706.0,118999451.0
2030-02-16,174752739.0,118999300.0
2030-02-17,174725771.0,118999732.0
2030-02-18,174698812.0,118999580.0
2030-02-19,174671846.0,118999428.0
2030-02-20,174644877.0,118999860.0
2030-02-21,174617917.0,118999708.0
2030-02-22,174590957.0,118999557.0
2030-02-23,174563996.0,118999405.0
2030-02-24,174537042.0,118999837.0
2030-02-25,174510080.0,118999685.0
2030-02-26,174483118.0,118999533.0
2030-02-27,174456166.0,118999381.0
2030-02-28,174429213.0,118999814.0
2030-03-01,174402260.0,118999662.0
2030-03-02,174350488.0,118988257.0
2030-03-03,174298728.0,118976852.0
2030-03-04,174246975.0,118965447.0
2030-03-05,174195213.0,118954042.0
2030-03-06,174143460.0,118942648.0
2030-03-07,174091714.0,118931255.0
2030-03-08,174039964.0,118919862.0
2030-03-09,173988222.0,118908465.0
2030-03-10,173936484.0,118897080.0
2030-03-11,173884744.0,118885694.0
2030-03-12,173833014.0,118874309.0
2030-03-13,173781278.0,118862924.0
2030-03-14,173729550.0,118851544.0
2030-03-15,173677831.0,118840171.0
2030-03-16,173626103.0,118828794.0
2030-03-17,173574381.0,118817417.0
2030-03-18,173522672.0,118806046.0
2030-03-19,173470962.0,118794680.0
2030-03-20,173419260.0,118783314.0
2030-03-21,173367563.0,118771949.0
2030-03-22,173315864.0,118760589.0
2030-03-23,173264174.0,118749233.0
2030-03-24,173212484.0,118737876.0
2030-03-25,173160796.0,118726518.0
2030-03-26,173109118.0,118715166.0
2030-03-27,173057436.0,118703821.0
2030-03-28,173005754.0,118692475.0
2030-03-29,172954082.0,118681129.0
2030-03-30,172902408.0,118669788.0
2030-03-31,172850738.0,118658450.0
2030-04-01,172799076.0,118647112.0
2030-04-02,172737920.0,118624636.0
2030-04-03,172676781.0,118602165.0
2030-04-04,172615651.0,118579701.0
2030-04-05,172554533.0,118557241.0
2030-04-06,172493429.0,118534792.0
2030-04-07,172432322.0,118512356.0
2030-04-08,172371234.0,118489917.0
2030-04-09,172310150.0,118467491.0
2030-04-10,172249091.0,118445070.0
2030-04-11,172188042.0,118422658.0
2030-04-12,172126995.0,118400254.0
2030-04-13,172065967.0,118377856.0
2030-04-14,172004937.0,118355469.0
2030-04-15,171943930.0,118333082.0
2030-04-16,171882926.0,118310706.0
2030-04-17,171821940.0,118288341.0
2030-04-18,171760966.0,118265981.0
2030-04-19,171699996.0,118243627.0
2030-04-20,171639049.0,118221279.0
2030-04-21,171578100.0,118198942.0
2030-04-22,171517165.0,118176613.0
2030-04-23,171456247.0,118154287.0
2030-04-24,171395332.0,118131972.0
2030-04-25,171334445.0,118109664.0
2030-04-26,171273551.0,118087361.0
2030-04-27,171212676.0,118065068.0
2030-04-28,171151808.0,118042782.0
2030-04-29,171090954.0,118020505.0
2030-04-30,171030122.0,117998229.0
2030-05-01,170969288.0,117975965.0
2030-05-02,170924318.0,117962041.0
2030-05-03,170879361.0,117948128.0
2030-05-04,170834418.0,117934213.0
2030-05-05,170789489.0,117920308.0
2030-05-06,170744572.0,117906409.0
2030-05-07,170699657.0,117892515.0
2030-05-08,170654760.0,117878628.0
2030-05-09,170609889.0,117864746.0
2030-05-10,170565019.0,117850873.0
2030-05-11,170520158.0,117836998.0
2030-05-12,170475315.0,117823136.0
2030-05-13,170430481.0,117809273.0
2030-05-14,170385666.0,117795422.0
2030-05-15,170340859.0,117781577.0
2030-05-16,170296067.0,117767734.0
2030-05-17,170251278.0,117753896.0
2030-05-18,170206513.0,117740064.0
2030-05-19,170161770.0,117726238.0
2030-05-20,170117019.0,117712418.0
2030-05-21,170072285.0,117698610.0
2030-05-22,170027570.0,117684797.0
2030-05-23,169982870.0,117670996.0
2030-05-24,169938177.0,117657200.0
2030-05-25,169893498.0,117643411.0
2030-05-26,169848830.0,117629627.0
2030-05-27,169804174.0,117615849.0
2030-05-28,169759540.0,117602073.0
2030-05-29,169714919.0,117588303.0
2030-05-30,169670295.0,117574544.0
2030-05-31,169625689.0,117560786.0
2030-06-01,169581110.0,117547039.0
2030-06-02,169634063.0,117589724.0
2030-06-03,169686998.0,117632388.0
2030-06-04,169739901.0,117675024.0
2030-06-05,169792774.0,117717637.0
2030-06-06,169845619.0,117760225.0
2030-06-07,169898433.0,117802788.0
