Date,Gibe-III,Koysha
2040-01-01,175753221.0,118999849.0
2040-01-02,175733986.0,118999288.0
2040-01-03,175714751.0,118999311.0
2040-01-04,175695521.0,118999335.0
2040-01-05,175676288.0,118999358.0
2040-01-06,175657054.0,118999381.0
2040-01-07,175637821.0,118999405.0
2040-01-08,175618592.0,118999428.0
2040-01-09,175599367.0,118999451.0
2040-01-10,175580143.0,118999475.0
2040-01-11,175560918.0,118999498.0
2040-01-12,175541687.0,118999522.0
2040-01-13,175522464.0,118999545.0
2040-01-14,175503241.0,118999568.0
2040-01-15,175484018.0,118999592.0
2040-01-16,175464795.0,118999615.0
2040-01-17,175445577.0,118999638.0
2040-01-18,175426363.0,118999662.0
2040-01-19,175407146.0,118999685.0
2040-01-20,175387924.0,118999708.0
2040-01-21,175368707.0,118999148.0
2040-01-22,175349495.0,118999171.0
2040-01-23,175330282.0,118999194.0
2040-01-24,175311070.0,118999218.0
2040-01-25,175291858.0,118999241.0
2040-01-26,175272654.0,118999264.0
2040-01-27,175253444.0,118999288.0
2040-01-28,175234233.0,118999311.0
2040-01-29,175215022.0,118999335.0
2040-01-30,175195816.0,118999358.0
2040-01-31,175176614.0,118999381.0
2040-02-01,175157412.0,118999405.0
2040-02-02,175130435.0,118999837.0
2040-02-03,175103455.0,118999685.0
2040-02-04,175076472.0,118999533.0
2040-02-05,175049494.0,118999381.0
2040-02-06,175022520.0,118999814.0
2040-02-07,174995546.0,118999662.0
2040-02-08,174968572.0,118999510.0
2040-02-09,174941597.0,118999358.0
2040-02-10,174914622.0,118999790.0
2040-02-11,174887651.0,118999638.0
2040-02-12,174860685.0,118999486.0
2040-02-13,174833718.0,118999335.0
2040-02-14,174806742.0,118999767.0
2040-02-15,174779774.0,118999615.0
2040-02-16,174752806.0,118999463.0
2040-02-17,174725838.0,118999311.0
2040-02-18,174698879.0,118999744.0
2040-02-19,174671914.0,118999592.0
2040-02-20,174644944.0,118999440.0
2040-02-21,174617984.0,118999288.0
2040-02-22,174591024.0,118999720.0
2040-02-23,174564064.0,118999568.0
2040-02-24,174537109.0,118999416.0
2040-02-25,174510148.0,118999849.0
2040-02-26,174483186.0,118999697.0
2040-02-27,174456233.0,118999545.0
2040-02-28,174429280.0,118999393.0
2040-02-29,174402327.0,118999825.0
2040-03-01,174375370.0,118999674.0
2040-03-02,174323606.0,118988268.0
2040-03-03,174271850.0,118976863.0
2040-03-04,174220091.0,118965458.0
2040-03-05,174168334.0,118954053.0
2040-03-06,174116590.0,118942660.0
2040-03-07,174064838.0,118931266.0
2040-03-08,174013092.0,118919873.0
2040-03-09,173961354.0,118908476.0
2040-03-10,173909610.0,118897091.0
2040-03-11,173857875.0,118885706.0
2040-03-12,173806145.0,118874321.0
2040-03-13,173754412.0,118862935.0
2040-03-14,173702688.0,118851556.0
2040-03-15,173650966.0,118840182.0
2040-03-16,173599240.0,118828806.0
2040-03-17,173547527.0,118817429.0
2040-03-18,173495816.0,118806057.0
2040-03-19,173444110.0,118794692.0
2040-03-20,173392414.0,118783326.0
2040-03-21,173340715.0,118771961.0
2040-03-22,173289020.0,118760601.0
2040-03-23,173237335.0,118749245.0
2040-03-24,173185639.0,118737887.0
2040-03-25,173133956.0,118726530.0
2040-03-26,173082279.0,118715178.0
2040-03-27,173030593.0,118703832.0
2040-03-28,172978921.0,118692487.0
2040-03-29,172927252.0,118681141.0
2040-03-30,172875577.0,118669799.0
2040-03-31,172823912.0,118658462.0
2040-04-01,172772246.0,118647124.0
2040-04-02,172711098.0,118624647.0
2040-04-03,172649967.0,118602177.0
2040-04-04,172588836.0,118579713.0
2040-04-05,172527726.0,118557253.0
2040-04-06,172466620.0,118534804.0
2040-04-07,172405523.0,118512367.0
2040-04-08,172344439.0,118489929.0
2040-04-09,172283362.0,118467503.0
2040-04-10,172222313.0,118445082.0
2040-04-11,172161262.0,118422670.0
2040-04-12,172100224.0,118400266.0
2040-04-13,172039195.0,118377867.0
2040-04-14,171978174.0,118355480.0
2040-04-15,171917175.0,118333094.0
2040-04-16,171856175.0,118310718.0
2040-04-17,171795197.0,118288353.0
2040-04-18,171734222.0,118265993.0
2040-04-19,171673257.0,118243639.0
2040-04-20,171612313.0,118221290.0
2040-04-21,171551368.0,118198954.0
2040-04-22,171490446.0,118176625.0
2040-04-23,171429527.0,118154299.0
2040-04-24,171368621.0,118131984.0
2040-04-25,171307732.0,118109675.0
2040-04-26,171246848.0,118087372.0
2040-04-27,171185981.0,118065080.0
2040-04-28,171125117.0,118042793.0
2040-04-29,171064271.0,118020517.0
2040-04-30,171003438.0,117998241.0
2040-05-01,170942613.0,117975976.0
2040-05-02,170897652.0,117962052.0
2040-05-03,170852698.0,117948140.0
2040-05-04,170807764.0,117934225.0
2040-05-05,170762848.0,117920320.0
2040-05-06,170717930.0,117906420.0
2040-05-07,170673024.0,117892527.0
2040-05-08,170628140.0,117878639.0
2040-05-09,170583272.0,117864758.0
2040-05-10,170538407.0,117850884.0
2040-05-11,170493555.0,117837010.0
2040-05-12,170448719.0,117823147.0
2040-05-13,170403890.0,117809285.0
2040-05-14,170359084.0,117795434.0
2040-05-15,170314291.0,117781589.0
2040-05-16,170269497.0,117767746.0
2040-05-17,170224718.0,117753908.0
2040-05-18,170179966.0,117740076.0
2040-05-19,170135222.0,117726250.0
2040-05-20,170090479.0,117712430.0
2040-05-21,170045755.0,117698621.0
2040-05-22,170001048.0,117684809.0
2040-05-23,169956351.0,117671007.0
2040-05-24,169911672.0,117657212.0
2040-05-25,169867002.0,117643423.0
2040-05-26,169822333.0,117629639.0
2040-05-27,169777690.0,117615861.0
2040-05-28,169733066.0,117602085.0
2040-05-29,169688443.0,117588315.0
2040-05-30,169643827.0,117574556.0
2040-05-31,169599235.0,117560797.0
2040-06-01,169554658.0,117547050.0
2040-06-02,169607623.0,117589736.0
2040-06-03,169660571.0,117632399.0
2040-06-04,169713493.0,117675036.0
2040-06-05,169766376.0,117717649.0
2040-06-06,169819231.0,117760237.0
2040-06-07,169872064.0,117802800.0
2040-06-08,169924861.0,117845344.0
2040-06-09,169977640.0,117887857.0
2040-06-10,170030393.0,117930352.0
2040-06-11,170083105.0,117972815.0
2040-06-12,170135798.0,118015262.0
2040-06-13,170188458.0,118057674.0
2040-06-14,170241094.0,118100072.0
2040-06-15,170293712.0,118142441.0
2040-06-16,170346291.0,118184790.0
2040-06-17,170398843.0,118227109.0
2040-06-18,170451376.0,118269409.0
2040-06-19,170503876.0,118311678.0
2040-06-20,170556352.0,118353929.0
2040-06-21,170608806.0,118396155.0
2040-06-22,170661221.0,118438356.0
2040-06-23,170713612.0,118480534.0
2040-06-24,170765982.0,118522685.0
2040-06-25,170818321.0,118564814.0
2040-06-26,170870638.0,118606921.0
2040-06-27,170922924.0,118649002.0
2040-06-28,170975183.0,118691060.0
2040-06-29,171027419.0,118733092.0
2040-06-30,171079626.0,118775106.0
2040-07-01,171131810.0,118817090.0
2040-07-02,171540068.0,118999218.0
2040-07-03,171947740.0,118998972.0
2040-07-04,172354841.0,118999311.0
2040-07-05,172761364.0,118999066.0
2040-07-06,173167318.0,118999405.0
2040-07-07,173572714.0,118999159.0
2040-07-08,173977554.0,118998914.0
2040-07-09,174381839.0,118999253.0
2040-07-10,174785568.0,118999007.0
2040-07-11,175188748.0,118999346.0
2040-07-12,175591396.0,118999101.0
2040-07-13,175993504.0,118999440.0
2040-07-14,176395076.0,118999194.0
2040-07-15,176796118.0,118998949.0
