Date,Gibe-III,Koysha
2032-01-01,175795735.0,118999352.0
2032-01-02,175764139.0,118999376.0
2032-01-03,175732542.0,118999399.0
2032-01-04,175700949.0,118999422.0
2032-01-05,175669349.0,118999446.0
2032-01-06,175637749.0,118999469.0
2032-01-07,175606154.0,118999492.0
2032-01-08,175574563.0,118999516.0
2032-01-09,175542966.0,118999539.0
2032-01-10,175511372.0,118999562.0
2032-01-11,175479778.0,118999586.0
2032-01-12,175448189.0,118999609.0
2032-01-13,175416604.0,118999633.0
2032-01-14,175385007.0,118999656.0
2032-01-15,175353414.0,118999679.0
2032-01-16,175321826.0,118999703.0
2032-01-17,175290238.0,118999726.0
2032-01-18,175258654.0,118999749.0
2032-01-19,175227063.0,118999773.0
2032-01-20,175195471.0,118999796.0
2032-01-21,175163889.0,118999235.0
2032-01-22,175132306.0,118999259.0
2032-01-23,175100719.0,118999282.0
2032-01-24,175069133.0,118999305.0
2032-01-25,175037547.0,118999329.0
2032-01-26,175005966.0,118999352.0
2032-01-27,174974387.0,118999376.0
2032-01-28,174942798.0,118999399.0
2032-01-29,174911218.0,118999422.0
2032-01-30,174879637.0,118999446.0
2032-01-31,174848062.0,118999469.0
2032-02-01,174816484.0,118999492.0
2032-02-02,174775526.0,118999340.0
2032-02-03,174734568.0,118999188.0
2032-02-04,174693614.0,118999037.0
2032-02-05,174652655.0,118999469.0
2032-02-06,174611704.0,118999317.0
2032-02-07,174570756.0,118999165.0
2032-02-08,174529808.0,118999013.0
2032-02-09,174488854.0,118999446.0
2032-02-10,174447905.0,118999294.0
2032-02-11,174406960.0,118999142.0
2032-02-12,174366007.0,118998990.0
2032-02-13,174325055.0,118999422.0
2032-02-14,174284107.0,118999270.0
2032-02-15,174243160.0,118999118.0
2032-02-16,174202206.0,118998966.0
2032-02-17,174161256.0,118999399.0
2032-02-18,174120310.0,118999247.0
2032-02-19,174079358.0,118999095.0
2032-02-20,174038406.0,118998943.0
2032-02-21,173997458.0,118999376.0
2032-02-22,173956512.0,118999224.0
2032-02-23,173915557.0,118999072.0
2032-02-24,173874606.0,118999504.0
2032-02-25,173833669.0,118999352.0
2032-02-26,173792727.0,118999200.0
2032-02-27,173751783.0,118999048.0
2032-02-28,173710844.0,118999481.0
2032-02-29,173669908.0,118999329.0
2032-03-01,173628957.0,118999177.0
2032-03-02,173562127.0,118987772.0
2032-03-03,173495295.0,118976367.0
2032-03-04,173428466.0,118964962.0
2032-03-05,173361638.0,118953557.0
2032-03-06,173294806.0,118942163.0
2032-03-07,173227984.0,118930770.0
2032-03-08,173161152.0,118919376.0
2032-03-09,173094334.0,118907980.0
2032-03-10,173027514.0,118896594.0
2032-03-11,172960705.0,118885209.0
2032-03-12,172893886.0,118873824.0
2032-03-13,172827078.0,118862439.0
2032-03-14,172760265.0,118851065.0
2032-03-15,172693457.0,118839691.0
2032-03-16,172626650.0,118828315.0
2032-03-17,172559852.0,118816938.0
2032-03-18,172493059.0,118805572.0
2032-03-19,172426257.0,118794206.0
2032-03-20,172359469.0,118782841.0
2032-03-21,172292669.0,118771475.0
2032-03-22,172225881.0,118760116.0
2032-03-23,172159091.0,118748759.0
2032-03-24,172092313.0,118737402.0
2032-03-25,172025529.0,118726044.0
2032-03-26,171958752.0,118714693.0
2032-03-27,171891973.0,118703347.0
2032-03-28,171825196.0,118692001.0
2032-03-29,171758432.0,118680656.0
2032-03-30,171691665.0,118669314.0
2032-03-31,171624906.0,118657976.0
2032-04-01,171558135.0,118646638.0
2032-04-02,171481659.0,118624162.0
2032-04-03,171405176.0,118601691.0
2032-04-04,171328718.0,118579227.0
