Date,Gibe-III,Koysha
2040-01-01,11685717968.0,5999945184.0
2040-01-02,11681449808.0,5999946912.0
2040-01-03,11677182512.0,5999948640.0
2040-01-04,11672916080.0,5999950368.0
2040-01-05,11668649648.0,5999952096.0
2040-01-06,11664384080.0,5999953824.0
2040-01-07,11660119376.0,5999955552.0
2040-01-08,11655855536.0,5999957280.0
2040-01-09,11651592128.0,5999959008.0
2040-01-10,11647329584.0,5999960736.0
2040-01-11,11643067904.0,5999962464.0
2040-01-12,11638806656.0,5999964192.0
2040-01-13,11634546704.0,5999965920.0
2040-01-14,11630287184.0,5999967648.0
2040-01-15,11626028960.0,5999969376.0
2040-01-16,11621771600.0,5999971104.0
2040-01-17,11617515104.0,5999972832.0
2040-01-18,11613259904.0,5999974560.0
2040-01-19,11609005568.0,5999976288.0
2040-01-20,11604752096.0,5999978016.0
2040-01-21,11600499920.0,5999979744.0
2040-01-22,11596248608.0,5999981472.0
2040-01-23,11591998592.0,5999983200.0
2040-01-24,11587749872.0,5999984928.0
2040-01-25,11583502880.0,5999986656.0
2040-01-26,11579256320.0,5999988384.0
2040-01-27,11575011488.0,5999990112.0
2040-01-28,11570767520.0,5999991840.0
2040-01-29,11566525712.0,5999993568.0
2040-01-30,11562284768.0,5999995296.0
2040-01-31,11558045552.0,5999997024.0
2040-02-01,11553807200.0,5999955552.0
2040-02-02,11549628032.0,5999944320.0
2040-02-03,11545450160.0,5999976288.0
2040-02-04,11541273584.0,5999965056.0
2040-02-05,11537098304.0,5999953824.0
2040-02-06,11532923888.0,5999942592.0
2040-02-07,11528750768.0,5999974560.0
2040-02-08,11524578944.0,5999963328.0
2040-02-09,11520409280.0,5999952096.0
2040-02-10,11516240480.0,5999984064.0
2040-02-11,11512073408.0,5999972832.0
2040-02-12,11507907200.0,5999961600.0
2040-02-13,11503742720.0,5999950368.0
2040-02-14,11499579536.0,5999982336.0
2040-02-15,11495418080.0,5999971104.0
2040-02-16,11491257488.0,5999959872.0
2040-02-17,11487099056.0,5999948640.0
2040-02-18,11482941488.0,5999980608.0
2040-02-19,11478786080.0,5999969376.0
2040-02-20,11474631536.0,5999958144.0
2040-02-21,11470479152.0,5999990112.0
2040-02-22,11466328064.0,5999978880.0
2040-02-23,11462178704.0,5999967648.0
2040-02-24,11458031504.0,5999956416.0
2040-02-25,11453885600.0,5999988384.0
2040-02-26,11449741424.0,5999977152.0
2040-02-27,11445598976.0,5999965920.0
2040-02-28,11441458256.0,5999954688.0
2040-02-29,11437319264.0,5999986656.0
2040-03-01,11433182000.0,5999975424.0
2040-03-02,11428083104.0,5999132160.0
2040-03-03,11422985936.0,5998288896.0
2040-03-04,11417890496.0,5997445632.0
2040-03-05,11412796352.0,5996602368.0
2040-03-06,11407703936.0,5995759968.0
2040-03-07,11402613248.0,5994917568.0
2040-03-08,11397523856.0,5994075168.0
2040-03-09,11392436192.0,5993232768.0
2040-03-10,11387350256.0,5992391232.0
2040-03-11,11382265616.0,5991549696.0
2040-03-12,11377182704.0,5990708160.0
2040-03-13,11372101520.0,5989866624.0
2040-03-14,11367022064.0,5989025520.0
2040-03-15,11361943904.0,5988184848.0
2040-03-16,11356867472.0,5987344176.0
2040-03-17,11351793200.0,5986503504.0
2040-03-18,11346720224.0,5985663264.0
2040-03-19,11341649408.0,5984823456.0
2040-03-20,11336579888.0,5983983648.0
2040-03-21,11331512096.0,5983143840.0
2040-03-22,11326446032.0,5982304464.0
2040-03-23,11321382128.0,5981465520.0
2040-03-24,11316319520.0,5980626576.0
2040-03-25,11311258640.0,5979787632.0
2040-03-26,11306199920.0,5978949120.0
2040-03-27,11301142928.0,5978111040.0
2040-03-28,11296087664.0,5977272960.0
2040-03-29,11291034560.0,5976434880.0
2040-03-30,11285982752.0,5975597232.0
2040-03-31,11280932672.0,5974760016.0
2040-04-01,11275884752.0,5973922800.0
2040-04-02,11270734880.0,5972263056.0
2040-04-03,11265586736.0,5970603744.0
2040-04-04,11260440320.0,5968945296.0
2040-04-05,11255295632.0,5967287280.0
2040-04-06,11250152672.0,5965630128.0
2040-04-07,11245011440.0,5963973840.0
2040-04-08,11239871936.0,5962317984.0
2040-04-09,11234734160.0,5960662992.0
2040-04-10,11229598544.0,5959008432.0
2040-04-11,11224465088.0,5957354736.0
2040-04-12,11219333360.0,5955701904.0
2040-04-13,11214203360.0,5954049504.0
2040-04-14,11209075088.0,5952397968.0
2040-04-15,11203948544.0,5950746864.0
2040-04-16,11198823296.0,5949096624.0
2040-04-17,11193699344.0,5947447248.0
2040-04-18,11188577120.0,5945798304.0
2040-04-19,11183456624.0,5944150224.0
2040-04-20,11178337856.0,5942502576.0
2040-04-21,11173220816.0,5940855792.0
2040-04-22,11168105504.0,5939209872.0
2040-04-23,11162992352.0,5937564384.0
2040-04-24,11157881360.0,5935919760.0
2040-04-25,11152772096.0,5934275568.0
2040-04-26,11147664560.0,5932632240.0
2040-04-27,11142558752.0,5930989776.0
2040-04-28,11137454672.0,5929347744.0
2040-04-29,11132352320.0,5927706576.0
2040-04-30,11127250832.0,5926065840.0
2040-05-01,11122151072.0,5924425968.0
2040-05-02,11118984512.0,5923400400.0
