Date,Gibe-III,Koysha
2032-01-01,11582679056.0,5999975856.0
2032-01-02,11580819728.0,5999977584.0
2032-01-03,11578960400.0,5999936112.0
2032-01-04,11577101936.0,5999937840.0
2032-01-05,11575243472.0,5999939568.0
2032-01-06,11573385008.0,5999941296.0
2032-01-07,11571526544.0,5999943024.0
2032-01-08,11569668512.0,5999944752.0
2032-01-09,11567810912.0,5999946480.0
2032-01-10,11565953312.0,5999948208.0
2032-01-11,11564095712.0,5999949936.0
2032-01-12,11562238112.0,5999951664.0
2032-01-13,11560381376.0,5999953392.0
2032-01-14,11558524640.0,5999955120.0
2032-01-15,11556667904.0,5999956848.0
2032-01-16,11554811168.0,5999958576.0
2032-01-17,11552954864.0,5999960304.0
2032-01-18,11551098992.0,5999962032.0
2032-01-19,11549243120.0,5999963760.0
2032-01-20,11547387248.0,5999965488.0
2032-01-21,11545531808.0,5999967216.0
2032-01-22,11543676800.0,5999968944.0
2032-01-23,11541821792.0,5999970672.0
2032-01-24,11539966784.0,5999972400.0
2032-01-25,11538111776.0,5999974128.0
2032-01-26,11536257632.0,5999975856.0
2032-01-27,11534403488.0,5999977584.0
2032-01-28,11532549344.0,5999936112.0
2032-01-29,11530695200.0,5999937840.0
2032-01-30,11528841488.0,5999939568.0
2032-01-31,11526988208.0,5999941296.0
2032-02-01,11525134928.0,5999943024.0
2032-02-02,11522531264.0,5999974992.0
2032-02-03,11519928032.0,5999963760.0
2032-02-04,11517324800.0,5999952528.0
2032-02-05,11514722000.0,5999984496.0
2032-02-06,11512119632.0,5999973264.0
2032-02-07,11509517264.0,5999962032.0
2032-02-08,11506915328.0,5999950800.0
2032-02-09,11504313824.0,5999982768.0
2032-02-10,11501712320.0,5999971536.0
2032-02-11,11499111248.0,5999960304.0
2032-02-12,11496510608.0,5999949072.0
2032-02-13,11493909968.0,5999981040.0
2032-02-14,11491309328.0,5999969808.0
2032-02-15,11488709552.0,5999958576.0
2032-02-16,11486109776.0,5999947344.0
2032-02-17,11483510000.0,5999979312.0
2032-02-18,11480911088.0,5999968080.0
2032-02-19,11478312176.0,5999956848.0
2032-02-20,11475713264.0,5999988816.0
2032-02-21,11473115216.0,5999977584.0
2032-02-22,11470517168.0,5999966352.0
2032-02-23,11467919120.0,5999955120.0
2032-02-24,11465321936.0,5999987088.0
2032-02-25,11462724752.0,5999975856.0
2032-02-26,11460127568.0,5999964624.0
2032-02-27,11457531248.0,5999953392.0
2032-02-28,11454934928.0,5999985360.0
2032-02-29,11452338608.0,5999974128.0
2032-03-01,11449742720.0,5999962896.0
2032-03-02,11444758304.0,5999119632.0
2032-03-03,11439774752.0,5998276368.0
2032-03-04,11434792064.0,5997433104.0
2032-03-05,11429810240.0,5996589840.0
2032-03-06,11424829712.0,5995747440.0
2032-03-07,11419850048.0,5994905040.0
2032-03-08,11414871248.0,5994062640.0
2032-03-09,11409893312.0,5993220240.0
2032-03-10,11404916672.0,5992378704.0
2032-03-11,11399940896.0,5991537168.0
2032-03-12,11394965984.0,5990695632.0
2032-03-13,11389992368.0,5989854096.0
2032-03-14,11385019616.0,5989013424.0
2032-03-15,11380047728.0,5988172752.0
2032-03-16,11375076704.0,5987332080.0
2032-03-17,11370106976.0,5986491408.0
2032-03-18,11365138544.0,5985651168.0
2032-03-19,11360171408.0,5984811360.0
2032-03-20,11355205136.0,5983971552.0
2032-03-21,11350240160.0,5983131744.0
2032-03-22,11345276048.0,5982292368.0
2032-03-23,11340312800.0,5981453424.0
2032-03-24,11335350416.0,5980614480.0
2032-03-25,11330389328.0,5979775536.0
2032-03-26,11325429104.0,5978937024.0
2032-03-27,11320469744.0,5978098944.0
2032-03-28,11315511680.0,5977260864.0
2032-03-29,11310554480.0,5976422784.0
2032-03-30,11305598144.0,5975585136.0
2032-03-31,11300642672.0,5974747920.0
2032-04-01,11295688064.0,5973910704.0
2032-04-02,11289825392.0,5972250960.0
2032-04-03,11283964448.0,5970591648.0
2032-04-04,11278105664.0,5968933200.0
2032-04-05,11272249040.0,5967275184.0
2032-04-06,11266394144.0,5965618032.0
2032-04-07,11260540976.0,5963961744.0
2032-04-08,11254689536.0,5962305888.0
2032-04-09,11248840688.0,5960650896.0
2032-04-10,11242994432.0,5958996336.0
2032-04-11,11237149904.0,5957342640.0
2032-04-12,11231307104.0,5955689808.0
2032-04-13,11225466032.0,5954037408.0
2032-04-14,11219627120.0,5952385872.0
2032-04-15,11213790368.0,5950734768.0
2032-04-16,11207955776.0,5949084528.0
2032-04-17,11202123344.0,5947435152.0
2032-04-18,11196292640.0,5945786208.0
2032-04-19,11190463664.0,5944138128.0
2032-04-20,11184637280.0,5942490480.0
2032-04-21,11178812624.0,5940843696.0
2032-04-22,11172990128.0,5939197776.0
2032-04-23,11167169792.0,5937552288.0
2032-04-24,11161351184.0,5935907664.0
2032-04-25,11155535168.0,5934263472.0
2032-04-26,11149720880.0,5932620144.0
2032-04-27,11143908320.0,5930977680.0
2032-04-28,11138098352.0,5929335648.0
2032-04-29,11132290112.0,5927694480.0
