Date,Gibe-III,Koysha
2029-01-01,11750000000.0,0.0
2029-01-02,11748132896.0,1851552.0
2029-01-03,11746265792.0,3699648.0
2029-01-04,11744398256.0,5544288.0
2029-01-05,11742531152.0,7385904.0
2029-01-06,11740664048.0,9225792.0
2029-01-07,11738796080.0,11063088.0
2029-01-08,11736928112.0,12898656.0
2029-01-09,11735060144.0,14732496.0
2029-01-10,11733192176.0,16564608.0
2029-01-11,11731324208.0,18394992.0
2029-01-12,11729455376.0,20223648.0
2029-01-13,11727586976.0,22050576.0
2029-01-14,11725719008.0,23876640.0
2029-01-15,11723850176.0,25700976.0
2029-01-16,11721981344.0,27523584.0
2029-01-17,11720112080.0,29345328.0
2029-01-18,11718243248.0,31165344.0
2029-01-19,11716374416.0,32984064.0
2029-01-20,11714504720.0,34801488.0
2029-01-21,11712635024.0,36617616.0
2029-01-22,11710765328.0,38432448.0
2029-01-23,11708895632.0,40246416.0
2029-01-24,11707025936.0,42058656.0
2029-01-25,11705155376.0,43870032.0
2029-01-26,11703284816.0,45680112.0
2029-01-27,11701415120.0,47488896.0
2029-01-28,11699544560.0,49296816.0
2029-01-29,11697674000.0,51103440.0
2029-01-30,11695803008.0,52908768.0
2029-01-31,11693932016.0,54713232.0
2029-02-01,11692061456.0,56516400.0
2029-02-02,11689558448.0,58116960.0
2029-02-03,11687055008.0,59716656.0
2029-02-04,11684551568.0,61315488.0
2029-02-05,11682048560.0,62913024.0
2029-02-06,11679544688.0,64509696.0
2029-02-07,11677040816.0,66105504.0
2029-02-08,11674537376.0,67700448.0
2029-02-09,11672033504.0,69294096.0
2029-02-10,11669529632.0,70886880.0
2029-02-11,11667025760.0,72478800.0
2029-02-12,11664521888.0,74069856.0
2029-02-13,11662017152.0,75660048.0
2029-02-14,11659512848.0,77249376.0
2029-02-15,11657008544.0,78837840.0
2029-02-16,11654503808.0,80425440.0
2029-02-17,11651999504.0,82012176.0
2029-02-18,11649494768.0,83598048.0
2029-02-19,11646990032.0,85183056.0
2029-02-20,11644484864.0,86767200.0
2029-02-21,11641980128.0,88350480.0
2029-02-22,11639475392.0,89932896.0
2029-02-23,11636969792.0,91514448.0
2029-02-24,11634465056.0,93095136.0
2029-02-25,11631959456.0,94674960.0
2029-02-26,11629453856.0,96253920.0
2029-02-27,11626948688.0,97832016.0
2029-02-28,11624443088.0,99409248.0
2029-03-01,11621937488.0,100986048.0
2029-03-02,11617211840.0,102253536.0
2029-03-03,11612487488.0,103519728.0
2029-03-04,11607763568.0,104784624.0
2029-03-05,11603040080.0,106048224.0
2029-03-06,11598317456.0,107310960.0
2029-03-07,11593594832.0,108572400.0
2029-03-08,11588873072.0,109832544.0
2029-03-09,11584151744.0,111091824.0
2029-03-10,11579431280.0,112349808.0
2029-03-11,11574711680.0,113606496.0
2029-03-12,11569992080.0,114862320.0
2029-03-13,11565273344.0,116116848.0
2029-03-14,11560555472.0,117370512.0
2029-03-15,11555837600.0,118622880.0
2029-03-16,11551120592.0,119874384.0
2029-03-17,11546404448.0,121124592.0
2029-03-18,11541688736.0,122373504.0
2029-03-19,11536973888.0,123621552.0
2029-03-20,11532259040.0,124868304.0
2029-03-21,11527545056.0,126114192.0
2029-03-22,11522831504.0,127358784.0
2029-03-23,11518118384.0,128602512.0
2029-03-24,11513406560.0,129844944.0
2029-03-25,11508694736.0,131086512.0
2029-03-26,11503983776.0,132326784.0
2029-03-27,11499273248.0,133566192.0
2029-03-28,11494563152.0,134804304.0
2029-03-29,11489853920.0,136041552.0
2029-03-30,11485145120.0,137277504.0
2029-03-31,11480436752.0,138512592.0
2029-04-01,11475729680.0,139746816.0
2029-04-02,11470353440.0,141492960.0
2029-04-03,11464978064.0,143236944.0
2029-04-04,11459603984.0,144978336.0
2029-04-05,11454231200.0,146717136.0
2029-04-06,11448859712.0,148453776.0
2029-04-07,11443489520.0,150188256.0
2029-04-08,11438120192.0,151920144.0
2029-04-09,11432752160.0,153649440.0
2029-04-10,11427385424.0,155376576.0
2029-04-11,11422019552.0,157101552.0
2029-04-12,11416654976.0,158823936.0
2029-04-13,11411291696.0,160544160.0
2029-04-14,11405929712.0,162262224.0
2029-04-15,11400569024.0,163977696.0
2029-04-16,11395209200.0,165691008.0
2029-04-17,11389850672.0,167402160.0
2029-04-18,11384493440.0,169111152.0
2029-04-19,11379137072.0,170817984.0
2029-04-20,11373782000.0,172522224.0
2029-04-21,11368428224.0,174224304.0
2029-04-22,11363075744.0,175924224.0
2029-04-23,11357724560.0,177621984.0
2029-04-24,11352374240.0,179317584.0
2029-04-25,11347025216.0,181011024.0
2029-04-26,11341677488.0,182702304.0
2029-04-27,11336330624.0,184391424.0
2029-04-28,11330985488.0,186078384.0
2029-04-29,11325641216.0,187763184.0
2029-04-30,11320298240.0,189445824.0
2029-05-01,11314956560.0,191126304.0
2029-05-02,11311462976.0,193781376.0
2029-05-03,11307969824.0,196432992.0
2029-05-04,11304477104.0,199081152.0
2029-05-05,11300984384.0,201725856.0
2029-05-06,11297492096.0,204366240.0
2029-05-07,11293999808.0,207003168.0
2029-05-08,11290508384.0,209636640.0
2029-05-09,11287016960.0,212266656.0
2029-05-10,11283525536.0,214893216.0
2029-05-11,11280034544.0,217516320.0
2029-05-12,11276543984.0,220135968.0
2029-05-13,11273053856.0,222752160.0
