Date,Gibe-III,Koysha
2036-01-01,11586802496.0,5999941728.0
2036-01-02,11583748256.0,5999943456.0
2036-01-03,11580694016.0,5999945184.0
2036-01-04,11577640208.0,5999946912.0
2036-01-05,11574586832.0,5999948640.0
2036-01-06,11571533456.0,5999950368.0
2036-01-07,11568480512.0,5999952096.0
2036-01-08,11565428000.0,5999953824.0
2036-01-09,11562375488.0,5999955552.0
2036-01-10,11559323840.0,5999957280.0
2036-01-11,11556272192.0,5999959008.0
2036-01-12,11553220976.0,5999960736.0
2036-01-13,11550170192.0,5999962464.0
2036-01-14,11547119408.0,5999964192.0
2036-01-15,11544069056.0,5999965920.0
2036-01-16,11541019136.0,5999967648.0
2036-01-17,11537969216.0,5999969376.0
2036-01-18,11534920160.0,5999971104.0
2036-01-19,11531871104.0,5999972832.0
2036-01-20,11528822048.0,5999974560.0
2036-01-21,11525773856.0,5999976288.0
2036-01-22,11522725664.0,5999978016.0
2036-01-23,11519677904.0,5999979744.0
2036-01-24,11516630576.0,5999981472.0
2036-01-25,11513583248.0,5999983200.0
2036-01-26,11510536352.0,5999984928.0
2036-01-27,11507489888.0,5999943456.0
2036-01-28,11504443424.0,5999945184.0
2036-01-29,11501397824.0,5999946912.0
2036-01-30,11498352224.0,5999948640.0
2036-01-31,11495307056.0,5999950368.0
2036-02-01,11492262320.0,5999952096.0
2036-02-02,11488313840.0,5999940864.0
2036-02-03,11484365360.0,5999929632.0
2036-02-04,11480417312.0,5999961600.0
2036-02-05,11476470128.0,5999950368.0
2036-02-06,11472523808.0,5999939136.0
2036-02-07,11468577920.0,5999927904.0
2036-02-08,11464632464.0,5999959872.0
2036-02-09,11460687440.0,5999948640.0
2036-02-10,11456742848.0,5999937408.0
2036-02-11,11452798688.0,5999926176.0
2036-02-12,11448854960.0,5999958144.0
2036-02-13,11444911664.0,5999946912.0
2036-02-14,11440968800.0,5999935680.0
2036-02-15,11437026368.0,5999924448.0
2036-02-16,11433084368.0,5999956416.0
2036-02-17,11429142800.0,5999945184.0
2036-02-18,11425201664.0,5999933952.0
2036-02-19,11421260960.0,5999922720.0
2036-02-20,11417320688.0,5999954688.0
2036-02-21,11413380848.0,5999943456.0
2036-02-22,11409441440.0,5999932224.0
2036-02-23,11405502464.0,5999964192.0
2036-02-24,11401563920.0,5999952960.0
2036-02-25,11397626672.0,5999941728.0
2036-02-26,11393689856.0,5999930496.0
2036-02-27,11389753472.0,5999962464.0
2036-02-28,11385817520.0,5999951232.0
2036-02-29,11381882000.0,5999940000.0
2036-03-01,11377946480.0,5999928768.0
2036-03-02,11371523936.0,5999085504.0
2036-03-03,11365102256.0,5998242240.0
2036-03-04,11358682304.0,5997398976.0
2036-03-05,11352263216.0,5996555712.0
2036-03-06,11345845424.0,5995713312.0
2036-03-07,11339428928.0,5994870912.0
2036-03-08,11333013728.0,5994028512.0
2036-03-09,11326599824.0,5993186112.0
2036-03-10,11320188080.0,5992344576.0
